id,NL_norm,logic_formula
1,The ministry should promote healthy meals,"O(promote(system,healthy_meal))"
2,The ministry should forbid high sugar food,"F(consume(user,high_sugar_food))"
3,The ministry should require labeling of processed food,"O(label(system,processed_food))"
4,The ministry should promote water consumption,"O(promote(system,water))"
5,The ministry should restrict energy drinks,"O(limit(system,energy_drink))"
6,The ministry should promote healthy meal,"O(promote(system,healthy_meal))"
7,The ministry should regulate healthy meal,"O(limit(system,healthy_meal))"
8,The ministry should label healthy meal,"O(label(system,healthy_meal))"
9,The ministry should promote vegetarian meal,"O(promote(system,vegetarian_meal))"
10,The ministry should regulate vegetarian meal,"O(limit(system,vegetarian_meal))"
11,The ministry should label vegetarian meal,"O(label(system,vegetarian_meal))"
12,The ministry should promote vegan meal,"O(promote(system,vegan_meal))"
13,The ministry should regulate vegan meal,"O(limit(system,vegan_meal))"
14,The ministry should label vegan meal,"O(label(system,vegan_meal))"
15,The ministry should promote high sugar food,"O(promote(system,high_sugar_food))"
16,The ministry should regulate high sugar food,"O(limit(system,high_sugar_food))"
17,The ministry should label high sugar food,"O(label(system,high_sugar_food))"
18,The ministry should promote low sugar food,"O(promote(system,low_sugar_food))"
19,The ministry should regulate low sugar food,"O(limit(system,low_sugar_food))"
20,The ministry should label low sugar food,"O(label(system,low_sugar_food))"
21,The ministry should promote fast food,"O(promote(system,fast_food))"
22,The ministry should regulate fast food,"O(limit(system,fast_food))"
23,The ministry should label fast food,"O(label(system,fast_food))"
24,The ministry should promote processed food,"O(promote(system,processed_food))"
25,The ministry should regulate processed food,"O(limit(system,processed_food))"
26,The ministry should label processed food,"O(label(system,processed_food))"
27,The ministry should promote organic food,"O(promote(system,organic_food))"
28,The ministry should regulate organic food,"O(limit(system,organic_food))"
29,The ministry should label organic food,"O(label(system,organic_food))"
30,The ministry should promote local food,"O(promote(system,local_food))"
31,The ministry should regulate local food,"O(limit(system,local_food))"
32,The ministry should label local food,"O(label(system,local_food))"
33,The ministry should promote seasonal food,"O(promote(system,seasonal_food))"
34,The ministry should regulate seasonal food,"O(limit(system,seasonal_food))"
35,The ministry should label seasonal food,"O(label(system,seasonal_food))"
36,The ministry should promote sustainable food,"O(promote(system,sustainable_food))"
37,The ministry should regulate sustainable food,"O(limit(system,sustainable_food))"
38,The ministry should label sustainable food,"O(label(system,sustainable_food))"
39,The ministry should promote low salt food,"O(promote(system,low_salt_food))"
40,The ministry should regulate low salt food,"O(limit(system,low_salt_food))"
41,The ministry should label low salt food,"O(label(system,low_salt_food))"
42,The ministry should promote balanced meal,"O(promote(system,balanced_meal))"
43,The ministry should regulate balanced meal,"O(limit(system,balanced_meal))"
44,The ministry should label balanced meal,"O(label(system,balanced_meal))"
45,The ministry should promote plant based meal,"O(promote(system,plant_based_meal))"
46,The ministry should regulate plant based meal,"O(limit(system,plant_based_meal))"
47,The ministry should label plant based meal,"O(label(system,plant_based_meal))"
48,The ministry should promote water,"O(promote(system,water))"
49,The ministry should regulate water,"O(limit(system,water))"
50,The ministry should label water,"O(label(system,water))"
51,The ministry should promote dessert,"O(promote(system,dessert))"
52,The ministry should regulate dessert,"O(limit(system,dessert))"
53,The ministry should label dessert,"O(label(system,dessert))"
54,The ministry should promote vegetables,"O(promote(system,vegetables))"
55,The ministry should regulate vegetables,"O(limit(system,vegetables))"
56,The ministry should label vegetables,"O(label(system,vegetables))"
57,The ministry should promote energy drink,"O(promote(system,energy_drink))"
58,The ministry should regulate energy drink,"O(limit(system,energy_drink))"
59,The ministry should label energy drink,"O(label(system,energy_drink))"
60,The ministry should promote meat,"O(promote(system,meat))"
61,The ministry should regulate meat,"O(limit(system,meat))"
62,The ministry should label meat,"O(label(system,meat))"
