id,stakeholder,formula_type,norm_type,original_nl,formula,backtranslated_nl,auto_semantic_score,auto_error_type,auto_notes,auto_direct_overlap,auto_original_concepts,auto_concept_hits,human_semantic_score,human_error_type,human_notes
INDUSTRY048,Food Industry,dyadic,permission,Products that are seasonal or new may be recommended.,"∀x.∀y.P(recommend(System,y,x)|seasonal(y)∨newProduct(y))","For every user and product, if the product is seasonal, then the system is permitted to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,seasonal,1,1,1,missing_condition,"Partially preserved: the permission and seasonal product condition are preserved, but the new product alternative from the original/formula is missing in the backtranslation."
USER021,User,dyadic,prohibition,Diabetic users should not be recommended energy drinks.,"∀x.∀y.F(recommend(System,y,x)|diabetic(x)∧energyDrink(y))","For every user and product, if the user is diabetic and the product is an energy drink, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,diabetic;energy,2,2,2,none,Faithful: diabetic user + energy drink condition -> prohibited recommendation is preserved.
MINISTRY059,Food Ministry,implication,permission,Users requiring kosher food may be recommended products that are verified kosher.,"∀x.∀y.requiresKosher(x)∧verifiedKosher(y)->P(recommend(System,y,x))","For every user and product, if the user requires kosher food and the product has verified kosher status, then the system is permitted to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,kosher;verified,1,1,2,none,Faithful: user requires kosher food + verified kosher product -> permitted recommendation is preserved.
MINISTRY100,Food Ministry,implication,obligation,Vulnerable users must be recommended healthy meals that have a nutrition label.,"∀x.∀y.vulnerableUser(x)∧healthyMeal(y)∧hasNutritionLabel(y)->O(recommend(System,y,x))","For every user and product, if the product has a nutrition label and the product is a healthy meal and the user is vulnerable, then the system is obligated to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,healthy;label;nutrition;vulnerable,1,1,2,none,Faithful: vulnerable user + healthy meal + nutrition label -> obligated recommendation is preserved.
INDUSTRY083,Food Industry,implication,prohibition,Products that are not available must not be recommended.,"∀x.∀y.¬available(y)->F(recommend(System,y,x))","For every user and product, if it is not the case that the product is available, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,available,1,1,2,none,Faithful: unavailable product -> prohibited recommendation is preserved.
USER036,User,dyadic,obligation,Users who require halal food must be recommended halal meals.,"∀x.∀y.O(recommend(System,y,x)|requiresHalal(x)∧halalMeal(y))","For every user and product, if the product is a halal meal and the user requires halal food, then the system is obligated to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,halal,1,1,2,none,Faithful: user requires halal food + halal meal -> obligated recommendation is preserved.
USER015,User,implication,prohibition,Pregnant users should not be recommended energy drinks.,"∀x.∀y.pregnant(x)∧energyDrink(y)->F(recommend(System,y,x))","For every user and product, if the product is an energy drink and the user is pregnant, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,energy;pregnant,2,2,2,none,Faithful: pregnant user + energy drink -> prohibited recommendation is preserved.
USER092,User,implication,prohibition,Diabetic users should not be recommended salty snacks.,"∀x.∀y.diabetic(x)∧saltySnack(y)->F(recommend(System,y,x))","For every user and product, if the user is diabetic and the product is a salty snack, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,diabetic;salty,2,2,2,none,Faithful: diabetic user + salty snack -> prohibited recommendation is preserved.
MINISTRY004,Food Ministry,implication,prohibition,Children must not be recommended restricted products.,"∀x.∀y.child(x)∧restricted(y)->F(recommend(System,y,x))","For every user and product, if the user is a child and the product is restricted, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,restricted,2,2,2,none,Faithful: child user + restricted product -> prohibited recommendation is preserved.
USER036,User,implication,obligation,Users who require halal food must be recommended halal meals.,"∀x.∀y.requiresHalal(x)∧halalMeal(y)->O(recommend(System,y,x))","For every user and product, if the product is a halal meal and the user requires halal food, then the system is obligated to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,halal,1,1,2,none,Faithful: user requires halal food + halal meal -> obligated recommendation is preserved.
