id,stakeholder,formula_type,norm_type,original_nl,formula,backtranslated_nl,auto_semantic_score,auto_error_type,auto_notes,auto_direct_overlap,auto_original_concepts,auto_concept_hits,human_semantic_score,human_error_type,human_notes
USER001,User,implication,prohibition,Children should not receive energy drink recommendations,"∀x.∀y.child(x)∧energyDrink(y)->F(recommend(System,y,x))","For every user and product, if the user is a child and the product is an energy drink, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,drink;energy,2,2,,,
USER001,User,dyadic,prohibition,Children should not receive energy drink recommendations,"∀x.∀y.F(recommend(System,y,x)|child(x)∧energyDrink(y))","For every user and product, if the user is a child and the product is an energy drink, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,drink;energy,2,2,,,
USER002,User,implication,prohibition,Children should not receive high sugar product recommendations,"∀x.∀y.child(x)∧highSugarProduct(y)->F(recommend(System,y,x))","For every user and product, if the user is a child and the product is high in sugar, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,high;sugar,2,2,2,none,QC sample: confirmed semantically equivalent.
USER002,User,dyadic,prohibition,Children should not receive high sugar product recommendations,"∀x.∀y.F(recommend(System,y,x)|child(x)∧highSugarProduct(y))","For every user and product, if the user is a child and the product is high in sugar, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,high;sugar,2,2,2,none,QC sample: confirmed semantically equivalent.
USER003,User,implication,obligation,Children should receive healthy meal recommendations,"∀x.∀y.child(x)∧healthyMeal(y)->O(recommend(System,y,x))","For every user and product, if the user is a child and the product is a healthy meal, then the system is obligated to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,healthy,1,1,,,
USER003,User,dyadic,obligation,Children should receive healthy meal recommendations,"∀x.∀y.O(recommend(System,y,x)|child(x)∧healthyMeal(y))","For every user and product, if the user is a child and the product is a healthy meal, then the system is obligated to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,healthy,1,1,,,
USER004,User,implication,permission,Children may receive mild meal recommendations,"∀x.∀y.child(x)∧mildMeal(y)->P(recommend(System,y,x))","For every user and product, if the user is a child and the product is a mild meal, then the system is permitted to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,mild,2,2,,,
USER004,User,dyadic,permission,Children may receive mild meal recommendations,"∀x.∀y.P(recommend(System,y,x)|child(x)∧mildMeal(y))","For every user and product, if the user is a child and the product is a mild meal, then the system is permitted to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,mild,2,2,,,
USER005,User,implication,prohibition,Children should not receive ultra processed food recommendations,"∀x.∀y.child(x)∧ultraProcessedFood(y)->F(recommend(System,y,x))","For every user and product, if the user is a child and the product is ultra-processed, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,,1,1,2,none,QC sample: confirmed semantically equivalent.
USER005,User,dyadic,prohibition,Children should not receive ultra processed food recommendations,"∀x.∀y.F(recommend(System,y,x)|child(x)∧ultraProcessedFood(y))","For every user and product, if the user is a child and the product is ultra-processed, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,,1,1,2,none,QC sample: confirmed semantically equivalent.
USER006,User,implication,obligation,Diabetic users should receive low sugar food recommendations,"∀x.∀y.diabetic(x)∧lowSugarFood(y)->O(recommend(System,y,x))","For every user and product, if the user is diabetic and the product is low in sugar, then the system is obligated to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,diabetic;low;sugar,2,2,,,
USER006,User,dyadic,obligation,Diabetic users should receive low sugar food recommendations,"∀x.∀y.O(recommend(System,y,x)|diabetic(x)∧lowSugarFood(y))","For every user and product, if the user is diabetic and the product is low in sugar, then the system is obligated to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,diabetic;low;sugar,2,2,,,
USER007,User,implication,prohibition,Diabetic users should not receive sugary snack recommendations,"∀x.∀y.diabetic(x)∧sugarySnack(y)->F(recommend(System,y,x))","For every user and product, if the user is diabetic and the product is a sugary snack, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,diabetic;snack;sugary,2,2,,,
USER007,User,dyadic,prohibition,Diabetic users should not receive sugary snack recommendations,"∀x.∀y.F(recommend(System,y,x)|diabetic(x)∧sugarySnack(y))","For every user and product, if the user is diabetic and the product is a sugary snack, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,diabetic;snack;sugary,2,2,,,
USER008,User,implication,permission,Diabetic users may receive certified healthy meal recommendations,"∀x.∀y.diabetic(x)∧healthyMeal(y)∧certifiedHealthy(y)->P(recommend(System,y,x))","For every user and product, if the product is certified healthy and the user is diabetic and the product is a healthy meal, then the system is permitted to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,certified;diabetic;healthy,2,2,2,none,QC sample: confirmed semantically equivalent.
USER008,User,dyadic,permission,Diabetic users may receive certified healthy meal recommendations,"∀x.∀y.P(recommend(System,y,x)|diabetic(x)∧healthyMeal(y)∧certifiedHealthy(y))","For every user and product, if the product is certified healthy and the user is diabetic and the product is a healthy meal, then the system is permitted to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,certified;diabetic;healthy,2,2,2,none,QC sample: confirmed semantically equivalent.
USER009,User,implication,prohibition,Diabetic users should not receive energy drinks that are high sugar products,"∀x.∀y.diabetic(x)∧energyDrink(y)∧highSugarProduct(y)->F(recommend(System,y,x))","For every user and product, if the user is diabetic and the product is an energy drink and the product is high in sugar, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,diabetic;energy;high;sugar,3,3,,,
USER009,User,dyadic,prohibition,Diabetic users should not receive energy drinks that are high sugar products,"∀x.∀y.F(recommend(System,y,x)|diabetic(x)∧energyDrink(y)∧highSugarProduct(y))","For every user and product, if the user is diabetic and the product is an energy drink and the product is high in sugar, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,diabetic;energy;high;sugar,3,3,,,
USER010,User,implication,obligation,Diabetic users should receive affordable low sugar food recommendations,"∀x.∀y.diabetic(x)∧lowSugarFood(y)∧affordableMeal(y)->O(recommend(System,y,x))","For every user and product, if the product is an affordable meal and the user is diabetic and the product is low in sugar, then the system is obligated to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,affordable;diabetic;low;sugar,3,3,2,none,QC sample: confirmed semantically equivalent.
USER010,User,dyadic,obligation,Diabetic users should receive affordable low sugar food recommendations,"∀x.∀y.O(recommend(System,y,x)|diabetic(x)∧lowSugarFood(y)∧affordableMeal(y))","For every user and product, if the product is an affordable meal and the user is diabetic and the product is low in sugar, then the system is obligated to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,affordable;diabetic;low;sugar,3,3,2,none,QC sample: confirmed semantically equivalent.
USER011,User,implication,obligation,Hypertensive users should receive low salt food recommendations,"∀x.∀y.hypertensive(x)∧lowSaltFood(y)->O(recommend(System,y,x))","For every user and product, if the user is hypertensive and the product is low in salt, then the system is obligated to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,hypertensive;low;salt,2,2,,,
USER011,User,dyadic,obligation,Hypertensive users should receive low salt food recommendations,"∀x.∀y.O(recommend(System,y,x)|hypertensive(x)∧lowSaltFood(y))","For every user and product, if the user is hypertensive and the product is low in salt, then the system is obligated to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,hypertensive;low;salt,2,2,,,
USER012,User,implication,prohibition,Hypertensive users should not receive salty snack recommendations,"∀x.∀y.hypertensive(x)∧saltySnack(y)->F(recommend(System,y,x))","For every user and product, if the user is hypertensive and the product is a salty snack, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,hypertensive;salty;snack,2,2,,,
USER012,User,dyadic,prohibition,Hypertensive users should not receive salty snack recommendations,"∀x.∀y.F(recommend(System,y,x)|hypertensive(x)∧saltySnack(y))","For every user and product, if the user is hypertensive and the product is a salty snack, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,hypertensive;salty;snack,2,2,,,
USER013,User,implication,permission,Hypertensive users may receive healthy low salt meal recommendations,"∀x.∀y.hypertensive(x)∧healthyMeal(y)∧lowSaltFood(y)->P(recommend(System,y,x))","For every user and product, if the product is a healthy meal and the user is hypertensive and the product is low in salt, then the system is permitted to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,healthy;hypertensive;low;salt,2,2,,,
USER013,User,dyadic,permission,Hypertensive users may receive healthy low salt meal recommendations,"∀x.∀y.P(recommend(System,y,x)|hypertensive(x)∧healthyMeal(y)∧lowSaltFood(y))","For every user and product, if the product is a healthy meal and the user is hypertensive and the product is low in salt, then the system is permitted to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,healthy;hypertensive;low;salt,2,2,,,
