source,id,stakeholder,norm_type,formula_type,nl_norm,formula,parser_valid,expected_pattern,auto_semantic_score,auto_error_type,ast_node_count,ast_depth,ast_predicate_count
baseline,USER001,User,prohibition,implication,Children should not receive energy drink recommendations,"∀x.∀y.child(x)∧energyDrink(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER001,User,prohibition,dyadic,Children should not receive energy drink recommendations,"∀x.∀y.F(recommend(System,y,x)|child(x)∧energyDrink(y))",True,True,2,none,7,5,3
baseline,USER002,User,prohibition,implication,Children should not receive high sugar product recommendations,"∀x.∀y.child(x)∧highSugarProduct(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER002,User,prohibition,dyadic,Children should not receive high sugar product recommendations,"∀x.∀y.F(recommend(System,y,x)|child(x)∧highSugarProduct(y))",True,True,2,none,7,5,3
baseline,USER003,User,obligation,implication,Children should receive healthy meal recommendations,"∀x.∀y.child(x)∧healthyMeal(y)->O(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER003,User,obligation,dyadic,Children should receive healthy meal recommendations,"∀x.∀y.O(recommend(System,y,x)|child(x)∧healthyMeal(y))",True,True,2,none,7,5,3
baseline,USER004,User,permission,implication,Children may receive mild meal recommendations,"∀x.∀y.child(x)∧mildMeal(y)->P(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER004,User,permission,dyadic,Children may receive mild meal recommendations,"∀x.∀y.P(recommend(System,y,x)|child(x)∧mildMeal(y))",True,True,2,none,7,5,3
baseline,USER005,User,prohibition,implication,Children should not receive ultra processed food recommendations,"∀x.∀y.child(x)∧ultraProcessedFood(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER005,User,prohibition,dyadic,Children should not receive ultra processed food recommendations,"∀x.∀y.F(recommend(System,y,x)|child(x)∧ultraProcessedFood(y))",True,True,2,none,7,5,3
baseline,USER006,User,obligation,implication,Diabetic users should receive low sugar food recommendations,"∀x.∀y.diabetic(x)∧lowSugarFood(y)->O(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER006,User,obligation,dyadic,Diabetic users should receive low sugar food recommendations,"∀x.∀y.O(recommend(System,y,x)|diabetic(x)∧lowSugarFood(y))",True,True,2,none,7,5,3
baseline,USER007,User,prohibition,implication,Diabetic users should not receive sugary snack recommendations,"∀x.∀y.diabetic(x)∧sugarySnack(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER007,User,prohibition,dyadic,Diabetic users should not receive sugary snack recommendations,"∀x.∀y.F(recommend(System,y,x)|diabetic(x)∧sugarySnack(y))",True,True,2,none,7,5,3
baseline,USER008,User,permission,implication,Diabetic users may receive certified healthy meal recommendations,"∀x.∀y.diabetic(x)∧healthyMeal(y)∧certifiedHealthy(y)->P(recommend(System,y,x))",True,True,2,none,10,6,4
baseline,USER008,User,permission,dyadic,Diabetic users may receive certified healthy meal recommendations,"∀x.∀y.P(recommend(System,y,x)|diabetic(x)∧healthyMeal(y)∧certifiedHealthy(y))",True,True,2,none,9,6,4
baseline,USER009,User,prohibition,implication,Diabetic users should not receive energy drinks that are high sugar products,"∀x.∀y.diabetic(x)∧energyDrink(y)∧highSugarProduct(y)->F(recommend(System,y,x))",True,True,2,none,10,6,4
baseline,USER009,User,prohibition,dyadic,Diabetic users should not receive energy drinks that are high sugar products,"∀x.∀y.F(recommend(System,y,x)|diabetic(x)∧energyDrink(y)∧highSugarProduct(y))",True,True,2,none,9,6,4
baseline,USER010,User,obligation,implication,Diabetic users should receive affordable low sugar food recommendations,"∀x.∀y.diabetic(x)∧lowSugarFood(y)∧affordableMeal(y)->O(recommend(System,y,x))",True,True,2,none,10,6,4
baseline,USER010,User,obligation,dyadic,Diabetic users should receive affordable low sugar food recommendations,"∀x.∀y.O(recommend(System,y,x)|diabetic(x)∧lowSugarFood(y)∧affordableMeal(y))",True,True,2,none,9,6,4
baseline,USER011,User,obligation,implication,Hypertensive users should receive low salt food recommendations,"∀x.∀y.hypertensive(x)∧lowSaltFood(y)->O(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER011,User,obligation,dyadic,Hypertensive users should receive low salt food recommendations,"∀x.∀y.O(recommend(System,y,x)|hypertensive(x)∧lowSaltFood(y))",True,True,2,none,7,5,3
baseline,USER012,User,prohibition,implication,Hypertensive users should not receive salty snack recommendations,"∀x.∀y.hypertensive(x)∧saltySnack(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
