id,stakeholder,formulation_type,nl_norm,logic_formula
INDUSTRY001,Food Industry,dyadic_obligation,Eligible users should receive sponsored product recommendations when the product is sponsored and available,"∀x.O(recommend(System,SponsoredProduct)|eligible(x)∧sponsored(SponsoredProduct))"
INDUSTRY002,Food Industry,dyadic_permission,Loyal customers may receive premium meal recommendations,"∀x.P(recommend(System,PremiumMeal)|loyalCustomer(x))"
INDUSTRY003,Food Industry,dyadic_prohibition,Users allergic to nuts should not receive nut snack recommendations,"∀x.F(recommend(System,NutSnack)|allergicTo(x,Nuts)∧contains(NutSnack,Nuts))"
INDUSTRY004,Food Industry,implication_obligation,Users interested in local food should receive local product recommendations when local products are available,"∀x.interestedIn(x,LocalFood)∧available(LocalProduct)->O(recommend(System,LocalProduct))"
INDUSTRY005,Food Industry,implication_permission,Premium customers may receive premium meal recommendations,"∀x.premiumCustomer(x)->P(recommend(System,PremiumMeal))"
INDUSTRY006,Food Industry,simple_permission,The system may recommend sponsored products,"∀x.P(recommend(System,SponsoredProduct))"
INDUSTRY007,Food Industry,simple_obligation,The system should promote certified meals,"∀x.O(recommend(System,CertifiedMeal))"
INDUSTRY008,Food Industry,simple_prohibition,The system should not recommend restricted products,"∀x.F(recommend(System,RestrictedFood))"
INDUSTRY009,Food Industry,dyadic_obligation,Users interested in discounted food should receive discounted product recommendations,"∀x.O(recommend(System,DiscountedFood)|interestedIn(x,DiscountedFood)∧discounted(DiscountedFood))"
INDUSTRY010,Food Industry,dyadic_permission,Seasonal products may be recommended during seasonal campaigns,"∀x.P(recommend(System,SeasonalFood)|seasonal(SeasonalFood)∧available(SeasonalFood))"
INDUSTRY011,Food Industry,dyadic_prohibition,Children should not receive restricted product recommendations,"∀x.F(recommend(System,RestrictedFood)|child(x)∧restricted(RestrictedFood))"
INDUSTRY012,Food Industry,implication_obligation,Users interested in new products should receive new product recommendations,"∀x.interestedIn(x,NewProduct)∧newProduct(NewProduct)->O(recommend(System,NewProduct))"
INDUSTRY013,Food Industry,implication_permission,Eligible adults may receive sponsored product recommendations,"∀x.eligible(x)∧adult(x)->P(recommend(System,SponsoredProduct))"
INDUSTRY014,Food Industry,implication_prohibition,Users allergic to shellfish should not receive shellfish meal recommendations,"∀x.allergicTo(x,Shellfish)∧contains(ShellfishMeal,Shellfish)->F(recommend(System,ShellfishMeal))"
INDUSTRY015,Food Industry,dyadic_obligation,Users interested in sustainable food should receive sustainable meal recommendations,"∀x.O(recommend(System,SustainableMeal)|interestedIn(x,SustainableFood)∧sustainable(SustainableMeal))"
INDUSTRY016,Food Industry,dyadic_permission,Organic food may be recommended to users who prefer organic products,"∀x.P(recommend(System,OrganicFood)|prefers(x,OrganicFood)∧organic(OrganicFood))"
INDUSTRY017,Food Industry,dyadic_prohibition,Restricted products must not be promoted to ineligible users,"∀x.F(recommend(System,RestrictedFood)|¬eligible(x)∧restricted(RestrictedFood))"
INDUSTRY018,Food Industry,implication_obligation,Certified meals should be recommended when certification is available,"∀x.certified(CertifiedMeal)->O(recommend(System,CertifiedMeal))"
INDUSTRY019,Food Industry,implication_permission,Halal certified products may be recommended to users requiring halal food,"∀x.requiresHalal(x)∧certifiedHalal(HalalMeal)->P(recommend(System,HalalMeal))"
INDUSTRY020,Food Industry,implication_prohibition,Users requiring halal food should not receive non certified halal meals,"∀x.requiresHalal(x)∧¬certifiedHalal(HalalMeal)->F(recommend(System,HalalMeal))"
INDUSTRY021,Food Industry,dyadic_obligation,Users requiring kosher food should receive kosher certified meal recommendations,"∀x.O(recommend(System,KosherMeal)|requiresKosher(x)∧certifiedKosher(KosherMeal))"
INDUSTRY022,Food Industry,dyadic_permission,Gluten free products may be recommended to gluten sensitive users,"∀x.P(recommend(System,GlutenFreeMeal)|glutenSensitive(x)∧certifiedGlutenFree(GlutenFreeMeal))"
INDUSTRY023,Food Industry,dyadic_prohibition,Uncertified gluten free products should not be recommended to gluten sensitive users,"∀x.F(recommend(System,GlutenFreeMeal)|glutenSensitive(x)∧¬certifiedGlutenFree(GlutenFreeMeal))"
INDUSTRY024,Food Industry,implication_obligation,Lactose intolerant users should receive lactose free product recommendations,"∀x.lactoseIntolerant(x)∧certifiedLactoseFree(LactoseFreeMeal)->O(recommend(System,LactoseFreeMeal))"
INDUSTRY025,Food Industry,implication_permission,Affordable product seekers may receive affordable meal recommendations,"∀x.prefers(x,AffordableMeal)∧affordable(AffordableMeal)->P(recommend(System,AffordableMeal))"
INDUSTRY026,Food Industry,simple_obligation,The system should recommend available sponsored products,∀x.O(available(SponsoredProduct))
INDUSTRY027,Food Industry,simple_permission,The system may recommend premium meals,"∀x.P(recommend(System,PremiumMeal))"
INDUSTRY028,Food Industry,simple_prohibition,The system should not recommend unavailable local products,∀x.F(¬available(LocalProduct))
INDUSTRY029,Food Industry,dyadic_obligation,Loyal customers should receive discounted product recommendations,"∀x.O(recommend(System,DiscountedFood)|loyalCustomer(x)∧discounted(DiscountedFood))"
INDUSTRY030,Food Industry,dyadic_permission,Premium customers may receive sponsored premium meals,"∀x.P(recommend(System,PremiumMeal)|premiumCustomer(x)∧premiumProduct(PremiumMeal))"
INDUSTRY031,Food Industry,dyadic_prohibition,Users avoiding sponsored products should not receive sponsored product recommendations,"∀x.F(recommend(System,SponsoredProduct)|avoids(x,SponsoredProduct))"
INDUSTRY032,Food Industry,implication_obligation,Local products should be recommended when available and locally positioned,"∀x.localProduct(LocalProduct)∧available(LocalProduct)->O(recommend(System,LocalProduct))"
INDUSTRY033,Food Industry,implication_permission,Users interested in seasonal food may receive seasonal food recommendations,"∀x.interestedIn(x,SeasonalFood)∧seasonal(SeasonalFood)->P(recommend(System,SeasonalFood))"
INDUSTRY034,Food Industry,implication_prohibition,Restricted products should not be recommended to children,"∀x.child(x)∧restricted(RestrictedFood)->F(recommend(System,RestrictedFood))"
INDUSTRY035,Food Industry,dyadic_obligation,Users interested in Mediterranean products should receive Mediterranean meal recommendations,"∀x.O(recommend(System,MediterraneanMeal)|interestedIn(x,Mediterranean)∧cuisine(MediterraneanMeal,Mediterranean))"
INDUSTRY036,Food Industry,dyadic_permission,Users interested in Asian products may receive Asian meal recommendations,"∀x.P(recommend(System,AsianMeal)|interestedIn(x,Asian)∧cuisine(AsianMeal,Asian))"
INDUSTRY037,Food Industry,dyadic_prohibition,Users avoiding shellfish should not receive shellfish meal recommendations,"∀x.F(recommend(System,ShellfishMeal)|avoids(x,ShellfishMeal)∧contains(ShellfishMeal,Shellfish))"
INDUSTRY038,Food Industry,implication_obligation,Users interested in spicy products should receive spicy meal recommendations,"∀x.prefers(x,SpicyMeal)∧spicy(SpicyMeal)->O(recommend(System,SpicyMeal))"
INDUSTRY039,Food Industry,implication_permission,Users avoiding spicy products may receive mild meal recommendations,"∀x.avoids(x,SpicyMeal)∧mild(MildMeal)->P(recommend(System,MildMeal))"
INDUSTRY040,Food Industry,implication_prohibition,Users allergic to nuts must not receive nut snacks even during promotions,"∀x.allergicTo(x,Nuts)∧sponsored(SponsoredProduct)->F(recommend(System,NutSnack))"
INDUSTRY041,Food Industry,dyadic_obligation,Eligible users should receive new product recommendations when the product is available,"∀x.O(recommend(System,NewProduct)|eligible(x)∧newProduct(NewProduct))"
INDUSTRY042,Food Industry,dyadic_permission,Adults may receive discounted food recommendations,"∀x.P(recommend(System,DiscountedFood)|adult(x)∧discounted(DiscountedFood))"
INDUSTRY043,Food Industry,dyadic_prohibition,Ineligible users should not receive sponsored product recommendations,"∀x.F(recommend(System,SponsoredProduct)|¬eligible(x)∧sponsored(SponsoredProduct))"
INDUSTRY044,Food Industry,implication_obligation,Available seasonal products should be recommended during seasonal interest,"∀x.interestedIn(x,SeasonalFood)∧available(SeasonalFood)->O(recommend(System,SeasonalFood))"
INDUSTRY045,Food Industry,implication_permission,Approved products may be recommended to eligible users,"∀x.eligible(x)∧approved(ApprovedFood)->P(recommend(System,ApprovedFood))"
INDUSTRY046,Food Industry,implication_prohibition,Products that are restricted should not be recommended even if sponsored,"∀x.restricted(RestrictedFood)∧sponsored(SponsoredProduct)->F(recommend(System,RestrictedFood))"
INDUSTRY047,Food Industry,simple_obligation,The system should recommend certified meals to improve product visibility,∀x.O(certified(CertifiedMeal))
INDUSTRY048,Food Industry,simple_permission,The system may recommend local products,"∀x.P(recommend(System,LocalProduct))"
INDUSTRY049,Food Industry,simple_prohibition,The system should not recommend unsafe products,"∀x.F(¬safeFor(x,FoodItem))"
INDUSTRY050,Food Industry,dyadic_obligation,Sustainable meals should be recommended to users interested in sustainable food,"∀x.O(recommend(System,SustainableMeal)|interestedIn(x,SustainableFood)∧available(SponsoredProduct))"
INDUSTRY051,Food Industry,dyadic_permission,Affordable meals may be recommended to price conscious users,"∀x.P(recommend(System,AffordableMeal)|prefers(x,AffordableMeal)∧affordable(AffordableMeal))"
INDUSTRY052,Food Industry,dyadic_prohibition,Lactose intolerant users should not receive uncertified lactose free meals,"∀x.F(recommend(System,LactoseFreeMeal)|lactoseIntolerant(x)∧¬certifiedLactoseFree(LactoseFreeMeal))"
INDUSTRY053,Food Industry,implication_obligation,Users requiring lactose free food should receive certified lactose free meals,"∀x.requiresLactoseFree(x)∧certifiedLactoseFree(LactoseFreeMeal)->O(recommend(System,LactoseFreeMeal))"
INDUSTRY054,Food Industry,implication_permission,Kosher certified meals may be recommended to kosher users,"∀x.requiresKosher(x)∧certifiedKosher(KosherMeal)->P(recommend(System,KosherMeal))"
INDUSTRY055,Food Industry,implication_prohibition,Uncertified kosher meals should not be recommended to kosher users,"∀x.requiresKosher(x)∧¬certifiedKosher(KosherMeal)->F(recommend(System,KosherMeal))"
INDUSTRY056,Food Industry,dyadic_obligation,Organic food should be recommended to users who prefer organic products,"∀x.O(recommend(System,OrganicFood)|prefers(x,OrganicFood)∧organic(OrganicFood))"
INDUSTRY057,Food Industry,dyadic_permission,Sponsored products may be recommended to eligible adults,"∀x.P(recommend(System,SponsoredProduct)|eligible(x)∧adult(x))"
