id,stakeholder,nl_norm,implication_formula,dyadic_formula,norm_type
MINISTRY001,Food Ministry,Food Ministry regulation prohibits the recommender from violating this safety rule: Children must not receive products exceeding sugar limits.,"∀x.∀y.child(x)∧exceedsSugarLimit(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧exceedsSugarLimit(y))",prohibition
MINISTRY002,Food Ministry,Food Ministry regulation prohibits the recommender from violating this safety rule: Children must not receive age restricted products.,"∀x.∀y.child(x)∧ageRestrictedProduct(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧ageRestrictedProduct(y))",prohibition
MINISTRY003,Food Ministry,Food Ministry policy requires the recommender to follow this public-interest rule: Children must receive healthy meal recommendations when available.,"∀x.∀y.child(x)∧healthyMeal(y)∧available(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|child(x)∧healthyMeal(y)∧available(y))",obligation
MINISTRY004,Food Ministry,Food Ministry policy permits the recommender to act under this regulatory condition: Children may receive approved low sugar products.,"∀x.∀y.child(x)∧approvedByMinistry(y)∧lowSugarFood(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|child(x)∧approvedByMinistry(y)∧lowSugarFood(y))",permission
MINISTRY005,Food Ministry,Food Ministry regulation prohibits the recommender from violating this safety rule: Children must not receive products requiring safety warnings.,"∀x.∀y.child(x)∧requiresWarning(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧requiresWarning(y))",prohibition
MINISTRY006,Food Ministry,Food Ministry policy requires the recommender to follow this public-interest rule: Diabetic users must receive foods safe for diabetic users.,"∀x.∀y.diabetic(x)∧safeForDiabeticUsers(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|diabetic(x)∧safeForDiabeticUsers(y))",obligation
MINISTRY007,Food Ministry,Food Ministry regulation prohibits the recommender from violating this safety rule: Diabetic users must not receive products exceeding sugar limits.,"∀x.∀y.diabetic(x)∧exceedsSugarLimit(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|diabetic(x)∧exceedsSugarLimit(y))",prohibition
MINISTRY008,Food Ministry,Food Ministry policy permits the recommender to act under this regulatory condition: Diabetic users may receive approved low sugar foods.,"∀x.∀y.diabetic(x)∧approvedByMinistry(y)∧lowSugarFood(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|diabetic(x)∧approvedByMinistry(y)∧lowSugarFood(y))",permission
MINISTRY009,Food Ministry,Food Ministry policy requires the recommender to follow this public-interest rule: Diabetic users must receive foods with nutrition labels.,"∀x.∀y.diabetic(x)∧hasNutritionLabel(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|diabetic(x)∧hasNutritionLabel(y))",obligation
MINISTRY010,Food Ministry,Food Ministry regulation prohibits the recommender from violating this safety rule: Diabetic users must not receive high sugar products.,"∀x.∀y.diabetic(x)∧highSugarProduct(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|diabetic(x)∧highSugarProduct(y))",prohibition
MINISTRY011,Food Ministry,Food Ministry policy requires the recommender to follow this public-interest rule: Hypertensive users must receive low salt foods.,"∀x.∀y.hypertensive(x)∧lowSaltFood(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|hypertensive(x)∧lowSaltFood(y))",obligation
MINISTRY012,Food Ministry,Food Ministry regulation prohibits the recommender from violating this safety rule: Hypertensive users must not receive products exceeding salt limits.,"∀x.∀y.hypertensive(x)∧exceedsSaltLimit(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|hypertensive(x)∧exceedsSaltLimit(y))",prohibition
MINISTRY013,Food Ministry,Food Ministry policy permits the recommender to act under this regulatory condition: Hypertensive users may receive approved low salt foods.,"∀x.∀y.hypertensive(x)∧approvedByMinistry(y)∧lowSaltFood(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|hypertensive(x)∧approvedByMinistry(y)∧lowSaltFood(y))",permission
MINISTRY014,Food Ministry,Food Ministry policy requires the recommender to follow this public-interest rule: Hypertensive users must receive foods complying with nutrition guidelines.,"∀x.∀y.hypertensive(x)∧compliesWithGuideline(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|hypertensive(x)∧compliesWithGuideline(y))",obligation
MINISTRY015,Food Ministry,Food Ministry regulation prohibits the recommender from violating this safety rule: Hypertensive users must not receive high salt products.,"∀x.∀y.hypertensive(x)∧highSaltProduct(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|hypertensive(x)∧highSaltProduct(y))",prohibition
MINISTRY016,Food Ministry,Food Ministry policy requires the recommender to follow this public-interest rule: Pregnant users must receive foods safe for pregnant users.,"∀x.∀y.pregnant(x)∧safeForPregnantUsers(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|pregnant(x)∧safeForPregnantUsers(y))",obligation
MINISTRY017,Food Ministry,Food Ministry regulation prohibits the recommender from violating this safety rule: Pregnant users must not receive products requiring warnings.,"∀x.∀y.pregnant(x)∧requiresWarning(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|pregnant(x)∧requiresWarning(y))",prohibition
MINISTRY018,Food Ministry,Food Ministry policy permits the recommender to act under this regulatory condition: Pregnant users may receive approved healthy meals.,"∀x.∀y.pregnant(x)∧approvedByMinistry(y)∧healthyMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|pregnant(x)∧approvedByMinistry(y)∧healthyMeal(y))",permission
MINISTRY019,Food Ministry,Food Ministry policy requires the recommender to follow this public-interest rule: Pregnant users must receive products with safety information.,"∀x.∀y.pregnant(x)∧hasSafetyWarning(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|pregnant(x)∧hasSafetyWarning(y))",obligation
MINISTRY020,Food Ministry,Food Ministry regulation prohibits the recommender from violating this safety rule: Pregnant users must not receive unsafe products.,"∀x.∀y.pregnant(x)∧unsafeProduct(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|pregnant(x)∧unsafeProduct(y))",prohibition
MINISTRY021,Food Ministry,Food Ministry policy requires the recommender to follow this public-interest rule: Elderly users must receive healthy meal recommendations.,"∀x.∀y.elderly(x)∧healthyMeal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|elderly(x)∧healthyMeal(y))",obligation
MINISTRY022,Food Ministry,Food Ministry regulation prohibits the recommender from violating this safety rule: Elderly users must not receive products exceeding salt limits.,"∀x.∀y.elderly(x)∧exceedsSaltLimit(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|elderly(x)∧exceedsSaltLimit(y))",prohibition
MINISTRY023,Food Ministry,Food Ministry policy permits the recommender to act under this regulatory condition: Elderly users may receive low sugar foods.,"∀x.∀y.elderly(x)∧lowSugarFood(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|elderly(x)∧lowSugarFood(y))",permission
MINISTRY024,Food Ministry,Food Ministry policy requires the recommender to follow this public-interest rule: Elderly users must receive affordable healthy foods.,"∀x.∀y.elderly(x)∧affordableMeal(y)∧healthyMeal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|elderly(x)∧affordableMeal(y)∧healthyMeal(y))",obligation
MINISTRY025,Food Ministry,Food Ministry regulation prohibits the recommender from violating this safety rule: Elderly users must not receive high fat products.,"∀x.∀y.elderly(x)∧highFatProduct(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|elderly(x)∧highFatProduct(y))",prohibition
MINISTRY026,Food Ministry,Food Ministry regulation prohibits the recommender from violating this safety rule: Users allergic to nuts must not receive products containing nuts.,"∀x.∀y.allergicTo(x,Nuts)∧contains(y,Nuts)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|allergicTo(x,Nuts)∧contains(y,Nuts))",prohibition
MINISTRY027,Food Ministry,Food Ministry regulation prohibits the recommender from violating this safety rule: Users allergic to shellfish must not receive products containing shellfish.,"∀x.∀y.allergicTo(x,Shellfish)∧contains(y,Shellfish)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|allergicTo(x,Shellfish)∧contains(y,Shellfish))",prohibition
MINISTRY028,Food Ministry,Food Ministry policy requires the recommender to follow this public-interest rule: Allergic users must receive products with allergen labels.,"∀x.∀y.allergicTo(x,Nuts)∧hasAllergenLabel(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|allergicTo(x,Nuts)∧hasAllergenLabel(y))",obligation
MINISTRY029,Food Ministry,Food Ministry policy permits the recommender to act under this regulatory condition: Allergic users may receive allergen safe products.,"∀x.∀y.allergicTo(x,Nuts)∧allergenSafeMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|allergicTo(x,Nuts)∧allergenSafeMeal(y))",permission
MINISTRY030,Food Ministry,Food Ministry policy requires the recommender to follow this public-interest rule: Users with shellfish allergies must receive shellfish free products.,"∀x.∀y.allergicTo(x,Shellfish)∧shellfishFreeMeal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|allergicTo(x,Shellfish)∧shellfishFreeMeal(y))",obligation
MINISTRY031,Food Ministry,Food Ministry regulation prohibits the recommender from violating this safety rule: Products containing undeclared allergens must not be recommended.,"∀x.∀y.containsUndeclaredAllergen(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|containsUndeclaredAllergen(y))",prohibition
MINISTRY032,Food Ministry,Food Ministry policy permits the recommender to act under this regulatory condition: Products with declared allergens may be recommended only when safe for the user.,"∀x.∀y.hasAllergenLabel(y)∧safeFor(x,y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|hasAllergenLabel(y)∧safeFor(x,y))",permission
MINISTRY033,Food Ministry,Food Ministry regulation prohibits the recommender from violating this safety rule: Products with missing allergen labels must not be recommended to allergic users.,"∀x.∀y.allergicTo(x,Nuts)∧¬hasAllergenLabel(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|allergicTo(x,Nuts)∧¬hasAllergenLabel(y))",prohibition
MINISTRY034,Food Ministry,Food Ministry policy requires the recommender to follow this public-interest rule: Products containing nuts must include allergen labeling for allergic users.,"∀x.∀y.allergicTo(x,Nuts)∧contains(y,Nuts)∧hasAllergenLabel(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|allergicTo(x,Nuts)∧contains(y,Nuts)∧hasAllergenLabel(y))",obligation
MINISTRY035,Food Ministry,Food Ministry policy requires the recommender to follow this public-interest rule: Products containing shellfish must include allergen labeling for allergic users.,"∀x.∀y.allergicTo(x,Shellfish)∧contains(y,Shellfish)∧hasAllergenLabel(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|allergicTo(x,Shellfish)∧contains(y,Shellfish)∧hasAllergenLabel(y))",obligation
