id,NL_norm,logic_formula
1,Companies should promote healthy meals,"O(promote(system,healthy_meal))"
2,Companies should not promote high sugar food,"O(¬promote(system,high_sugar_food))"
3,Companies are permitted to advertise fast food,"P(advertise(system,fast_food))"
4,Companies should provide balanced meals,"O(provide(system,balanced_meal))"
5,Companies should label processed food,"O(label(system,processed_food))"
6,Companies should not advertise energy drinks to children,"O(¬advertise(system,energy_drink))"
7,Companies may promote organic food,"P(promote(system,organic_food))"
8,Companies should provide vegetarian meals,"O(provide(system,vegetarian_meal))"
9,Companies should advertise local food,"O(advertise(system,local_food))"
10,Companies should promote sustainable food,"O(promote(system,sustainable_food))"
11,"If users are children, companies should not promote energy drinks","child(user)→O(¬promote(system,energy_drink))"
12,"If users are diabetic, companies should promote low sugar food","diabetic(user)→O(promote(system,low_sugar_food))"
13,"If users are vegetarian, companies should promote vegetarian meals","vegetarian(user)→O(promote(system,vegetarian_meal))"
14,"If users are vegetarian, companies should not promote meat","vegetarian(user)→O(¬promote(system,meat))"
15,"If users are children, companies should limit advertising of fast food","child(user)→O(limit(system,fast_food))"
16,"If users are adults, companies may advertise energy drinks","adult(user)→P(advertise(system,energy_drink))"
17,"If users are diabetic, companies should not advertise high sugar food","diabetic(user)→O(¬advertise(system,high_sugar_food))"
18,"If users are vegetarian, companies may promote plant based meals","vegetarian(user)→P(promote(system,plant_based_meal))"
19,"If users are children, companies should promote vegetables","child(user)→O(promote(system,vegetables))"
20,"If users are adults, companies should promote balanced meals","adult(user)→O(promote(system,balanced_meal))"
21,Companies should promote seasonal food,"O(promote(system,seasonal_food))"
22,Companies should advertise organic food,"O(advertise(system,organic_food))"
23,Companies should not promote processed food,"O(¬promote(system,processed_food))"
24,Companies may advertise desserts,"P(advertise(system,dessert))"
25,Companies should provide water,"O(provide(system,water))"
26,Companies should promote plant based meals,"O(promote(system,plant_based_meal))"
27,Companies should label high sugar food,"O(label(system,high_sugar_food))"
28,Companies should provide low salt food,"O(provide(system,low_salt_food))"
29,Companies may promote meat,"P(promote(system,meat))"
30,Companies should not promote excessive fast food,"O(¬promote(system,fast_food))"
31,Companies should promote vegetables and water,"O(promote(system,vegetables)∧promote(system,water))"
32,Companies may advertise dessert or fast food,"P(advertise(system,dessert)∨advertise(system,fast_food))"
33,Companies should not promote processed food and high sugar food,"O(¬promote(system,processed_food)∧¬promote(system,high_sugar_food))"
34,Companies may advertise organic or local food,"P(advertise(system,organic_food)∨advertise(system,local_food))"
35,Companies should provide balanced meals and vegetables,"O(provide(system,balanced_meal)∧provide(system,vegetables))"
36,Companies may promote meat or plant based meals,"P(promote(system,meat)∨promote(system,plant_based_meal))"
37,Companies should limit energy drinks and fast food,"O(limit(system,energy_drink)∧limit(system,fast_food))"
38,Companies may advertise seasonal or sustainable food,"P(advertise(system,seasonal_food)∨advertise(system,sustainable_food))"
39,Companies should provide water and low sugar food,"O(provide(system,water)∧provide(system,low_sugar_food))"
40,Companies may promote vegetarian or vegan meals,"P(promote(system,vegetarian_meal)∨promote(system,vegan_meal))"
41,Companies should not promote meat if users are vegetarian,"vegetarian(user)→O(¬promote(system,meat))"
42,Companies should promote plant based meals if users are vegetarian,"vegetarian(user)→O(promote(system,plant_based_meal))"
43,Companies should not advertise dessert if users are diabetic,"diabetic(user)→O(¬advertise(system,dessert))"
44,Companies may advertise dessert if users are adults,"adult(user)→P(advertise(system,dessert))"
45,Companies should provide water if users are children,"child(user)→O(provide(system,water))"
46,Companies should provide low salt food if users are adults,"adult(user)→O(provide(system,low_salt_food))"
47,Companies may promote meat if users are not vegetarian,"¬vegetarian(user)→P(promote(system,meat))"
48,Companies should limit fast food if users are children,"child(user)→O(limit(system,fast_food))"
49,Companies may advertise energy drinks if users are adults,"adult(user)→P(advertise(system,energy_drink))"
50,Companies should promote vegetables if users are diabetic,"diabetic(user)→O(promote(system,vegetables))"
51,Companies should not promote high sugar food and energy drinks,"O(¬promote(system,high_sugar_food)∧¬promote(system,energy_drink))"
52,Companies may advertise dessert or energy drink,"P(advertise(system,dessert)∨advertise(system,energy_drink))"
53,Companies should promote organic and sustainable food,"O(promote(system,organic_food)∧promote(system,sustainable_food))"
54,Companies may advertise local or seasonal food,"P(advertise(system,local_food)∨advertise(system,seasonal_food))"
55,Companies should limit processed and fast food,"O(limit(system,processed_food)∧limit(system,fast_food))"
56,Companies may promote balanced or plant based meals,"P(promote(system,balanced_meal)∨promote(system,plant_based_meal))"
57,Companies should provide vegetables and low salt food,"O(provide(system,vegetables)∧provide(system,low_salt_food))"
58,Companies may promote vegan or vegetarian meals,"P(promote(system,vegan_meal)∨promote(system,vegetarian_meal))"
59,Companies should not advertise dessert and high sugar food,"O(¬advertise(system,dessert)∧¬advertise(system,high_sugar_food))"
60,Companies may promote meat or fast food,"P(promote(system,meat)∨promote(system,fast_food))"
61,Companies should not promote unhealthy meals,"O(¬promote(system,fast_food))"
62,Companies are permitted to provide water,"P(provide(system,water))"
63,Companies should promote vegetables regularly,"O(promote(system,vegetables))"
64,Companies should limit meat promotion,"O(limit(system,meat))"
65,Companies may promote organic meals,"P(promote(system,organic_food))"
66,Companies should promote plant based meals,"O(promote(system,plant_based_meal))"
67,Companies should not advertise energy drinks,"O(¬advertise(system,energy_drink))"
68,Companies may advertise dessert occasionally,"P(advertise(system,dessert))"
69,Companies should provide balanced meals,"O(provide(system,balanced_meal))"
70,Companies should limit processed food,"O(limit(system,processed_food))"
71,"If users are children, companies may advertise dessert","child(user)→P(advertise(system,dessert))"
72,"If users are diabetic, companies should promote vegetables","diabetic(user)→O(promote(system,vegetables))"
73,"If users are vegetarian, companies should not promote meat","vegetarian(user)→O(¬promote(system,meat))"
74,"If users are adults, companies should promote balanced meals","adult(user)→O(promote(system,balanced_meal))"
75,"If users are children, companies should provide water","child(user)→O(provide(system,water))"
76,"If users are diabetic, companies should not advertise dessert","diabetic(user)→O(¬advertise(system,dessert))"
77,"If users are vegetarian, companies may promote vegan meals","vegetarian(user)→P(promote(system,vegan_meal))"
78,"If users are adults, companies may promote meat","adult(user)→P(promote(system,meat))"
79,"If users are children, companies should not advertise energy drinks","child(user)→O(¬advertise(system,energy_drink))"
80,"If users are diabetic, companies should promote low sugar food","diabetic(user)→O(promote(system,low_sugar_food))"
81,Companies may promote vegetables or organic food,"P(promote(system,vegetables)∨promote(system,organic_food))"
82,Companies should not advertise high sugar food or dessert,"O(¬advertise(system,high_sugar_food)∨¬advertise(system,dessert))"
83,Companies may promote local or organic food,"P(promote(system,local_food)∨promote(system,organic_food))"
84,Companies should provide balanced meal and water,"O(provide(system,balanced_meal)∧provide(system,water))"
85,Companies may promote meat or vegetarian meal,"P(promote(system,meat)∨promote(system,vegetarian_meal))"
86,Companies should limit fast food and energy drinks,"O(limit(system,fast_food)∧limit(system,energy_drink))"
87,Companies may advertise sustainable or seasonal food,"P(advertise(system,sustainable_food)∨advertise(system,seasonal_food))"
88,Companies should promote vegetables and plant based meals,"O(promote(system,vegetables)∧promote(system,plant_based_meal))"
89,Companies may advertise dessert or meat,"P(advertise(system,dessert)∨advertise(system,meat))"
90,Companies should limit processed food and dessert,"O(limit(system,processed_food)∧limit(system,dessert))"
91,Companies should not avoid promoting healthy meals,"O(¬¬promote(system,healthy_meal))"
92,Companies may not promote high sugar food,"P(¬promote(system,high_sugar_food))"
93,Companies should not avoid promoting vegetables,"O(¬¬promote(system,vegetables))"
94,Companies are forbidden to advertise energy drinks,"F(advertise(system,energy_drink))"
95,Companies are forbidden to promote processed food,"F(promote(system,processed_food))"
96,Companies are permitted to provide water,"P(provide(system,water))"
97,Companies are forbidden to advertise high sugar food,"F(advertise(system,high_sugar_food))"
98,Companies are permitted to promote vegetables,"P(promote(system,vegetables))"
99,Companies are forbidden to promote excessive fast food,"F(promote(system,fast_food))"
