id,stakeholder,formula_type,norm_type,original_nl,formula,backtranslated_nl,auto_semantic_score,auto_error_type,auto_notes,human_semantic_score,human_error_type,human_notes
USER045,User,implication,permission,Lactose intolerant users may be recommended certified lactose-free products.,"∀x.∀y.lactoseIntolerant(x)∧certifiedLactoseFree(y)->P(recommend(System,y,x))","For every user and product, if all of the following hold: the product is certified lactose-free; and the user is lactose-intolerant, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,2,none,"Faithful. The backtranslation preserves the permission, lactose-intolerant user condition, certified lactose-free product condition, and recommendation action. Automatic score 1 is due to conservative concept matching."
USER045,User,dyadic,permission,Lactose intolerant users may be recommended certified lactose-free products.,"∀x.∀y.P(recommend(System,y,x)|lactoseIntolerant(x)∧certifiedLactoseFree(y))","For every user and product, if all of the following hold: the product is certified lactose-free; and the user is lactose-intolerant, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,2,none,"Faithful. The backtranslation preserves the permission, lactose-intolerant user condition, certified lactose-free product condition, and recommendation action. Automatic score 1 is due to conservative concept matching."
USER046,User,implication,prohibition,Lactose intolerant users should not be recommended non lactose-free meals.,"∀x.∀y.lactoseIntolerant(x)∧¬lactoseFreeMeal(y)->F(recommend(System,y,x))","For every user and product, if all of the following hold: the user is lactose-intolerant; and it is not the case that the product is a lactose-free meal, then the system is prohibited from recommending the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,2,none,"Faithful. The prohibition is preserved: lactose-intolerant users should not be recommended products that are not lactose-free. The backtranslation expresses “non lactose-free meals” as “it is not the case that the product is a lactose-free meal,” which is equivalent. Automatic score 1 is due to conservative concept matching."
USER046,User,dyadic,prohibition,Lactose intolerant users should not be recommended non lactose-free meals.,"∀x.∀y.F(recommend(System,y,x)|lactoseIntolerant(x)∧¬lactoseFreeMeal(y))","For every user and product, if all of the following hold: the user is lactose-intolerant; and it is not the case that the product is a lactose-free meal, then the system is prohibited from recommending the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,2,none,"Faithful. The prohibition is preserved: lactose-intolerant users should not be recommended products that are not lactose-free. The backtranslation expresses “non lactose-free meals” as “it is not the case that the product is a lactose-free meal,” which is equivalent. Automatic score 1 is due to conservative concept matching."
USER051,User,implication,permission,Users may be recommended products they prefer.,"∀x.∀y.prefers(x,y)->P(recommend(System,y,x))","For every user and product, if the user prefers the product, then the system is permitted to recommend the product to the user.",0,semantic_mismatch_possible,Automatic check found weak modality or concept agreement; human review needed.,2,none,"Faithful. The permission is preserved: users may be recommended products they prefer. The formula and backtranslation both express that if a user prefers a product, recommending that product to the user is permitted. Automatic score 0 is due to weak concept matching for the predicate prefers(x,y)."
USER051,User,dyadic,permission,Users may be recommended products they prefer.,"∀x.∀y.P(recommend(System,y,x)|prefers(x,y))","For every user and product, if the user prefers the product, then the system is permitted to recommend the product to the user.",0,semantic_mismatch_possible,Automatic check found weak modality or concept agreement; human review needed.,2,none,"Faithful. The permission is preserved: users may be recommended products they prefer. The formula and backtranslation both express that if a user prefers a product, recommending that product to the user is permitted. Automatic score 0 is due to weak concept matching for the predicate prefers(x,y)."
USER052,User,implication,prohibition,Users should not be recommended products they avoid.,"∀x.∀y.avoids(x,y)->F(recommend(System,y,x))","For every user and product, if the user avoids the product, then the system is prohibited from recommending the product to the user.",0,semantic_mismatch_possible,Automatic check found weak modality or concept agreement; human review needed.,2,none,"Faithful. The prohibition is preserved: users should not be recommended products they avoid. The formula and backtranslation both express that if a user avoids a product, recommending that product to the user is prohibited. Automatic score 0 is due to weak concept matching for the predicate avoids(x,y)."
USER052,User,dyadic,prohibition,Users should not be recommended products they avoid.,"∀x.∀y.F(recommend(System,y,x)|avoids(x,y))","For every user and product, if the user avoids the product, then the system is prohibited from recommending the product to the user.",0,semantic_mismatch_possible,Automatic check found weak modality or concept agreement; human review needed.,2,none,"Faithful. The prohibition is preserved: users should not be recommended products they avoid. The formula and backtranslation both express that if a user avoids a product, recommending that product to the user is prohibited. Automatic score 0 is due to weak concept matching for the predicate avoids(x,y)."
USER063,User,implication,permission,Users requiring halal or kosher food may be recommended certified meals.,"∀x.∀y.(requiresHalal(x)∨requiresKosher(x))∧healthyMeal(y)->P(recommend(System,y,x))","For every user and product, if all of the following hold: the product is a healthy meal; and either the user requires halal food or the user requires kosher food, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,1,wrong_condition,"Partially faithful. The permission and the halal-or-kosher user condition are preserved, but the original norm says certified meals, while the formula/backtranslation uses healthyMeal(y). Certified and healthy are not equivalent, so the product condition is changed."
USER063,User,dyadic,permission,Users requiring halal or kosher food may be recommended certified meals.,"∀x.∀y.P(recommend(System,y,x)|(requiresHalal(x)∨requiresKosher(x))∧healthyMeal(y))","For every user and product, if all of the following hold: the product is a healthy meal; and either the user requires halal food or the user requires kosher food, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,1,wrong_condition,"Partially faithful. The permission and the halal-or-kosher user condition are preserved, but the original norm says certified meals, while the formula/backtranslation uses healthyMeal(y). Certified and healthy are not equivalent, so the product condition is changed."
