id,stakeholder,nl_norm,implication_formula,dyadic_formula,norm_type
INDUSTRY001,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Eligible users should receive sponsored product recommendations when products are available.,"∀x.∀y.eligible(x)∧sponsored(y)∧available(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|eligible(x)∧sponsored(y)∧available(y))",obligation
INDUSTRY002,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Eligible adults may receive sponsored product recommendations.,"∀x.∀y.eligible(x)∧adult(x)∧sponsored(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|eligible(x)∧adult(x)∧sponsored(y))",permission
INDUSTRY003,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Ineligible users should not receive sponsored product recommendations.,"∀x.∀y.¬eligible(x)∧sponsored(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|¬eligible(x)∧sponsored(y))",prohibition
INDUSTRY004,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Sponsored products should be recommended when they are approved and available.,"∀x.∀y.sponsored(y)∧approved(y)∧available(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|sponsored(y)∧approved(y)∧available(y))",obligation
INDUSTRY005,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Sponsored products should not be recommended when they are restricted.,"∀x.∀y.sponsored(y)∧restricted(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|sponsored(y)∧restricted(y))",prohibition
INDUSTRY006,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Loyal customers may receive premium product recommendations.,"∀x.∀y.loyalCustomer(x)∧premiumProduct(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|loyalCustomer(x)∧premiumProduct(y))",permission
INDUSTRY007,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Premium customers should receive premium product recommendations when products are available.,"∀x.∀y.premiumCustomer(x)∧premiumProduct(y)∧available(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|premiumCustomer(x)∧premiumProduct(y)∧available(y))",obligation
INDUSTRY008,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Children should not receive restricted premium product promotions.,"∀x.∀y.child(x)∧premiumProduct(y)∧restricted(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧premiumProduct(y)∧restricted(y))",prohibition
INDUSTRY009,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Premium products may be recommended when they are approved.,"∀x.∀y.premiumProduct(y)∧approved(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|premiumProduct(y)∧approved(y))",permission
INDUSTRY010,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Premium products should be recommended to eligible premium customers.,"∀x.∀y.eligible(x)∧premiumCustomer(x)∧premiumProduct(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|eligible(x)∧premiumCustomer(x)∧premiumProduct(y))",obligation
INDUSTRY011,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Certified products should be recommended to users requiring certified products.,"∀x.∀y.requiresCertifiedProduct(x)∧certified(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|requiresCertifiedProduct(x)∧certified(y))",obligation
INDUSTRY012,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Certified products may be promoted when they are available.,"∀x.∀y.certified(y)∧available(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|certified(y)∧available(y))",permission
INDUSTRY013,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Uncertified products should not be recommended to users requiring certified products.,"∀x.∀y.requiresCertifiedProduct(x)∧¬certified(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|requiresCertifiedProduct(x)∧¬certified(y))",prohibition
INDUSTRY014,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Certified healthy products should be recommended to eligible users.,"∀x.∀y.eligible(x)∧certified(y)∧healthyMeal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|eligible(x)∧certified(y)∧healthyMeal(y))",obligation
INDUSTRY015,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Certified products should not be recommended when they are restricted.,"∀x.∀y.certified(y)∧restricted(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|certified(y)∧restricted(y))",prohibition
INDUSTRY016,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Users interested in discounted food should receive discounted product recommendations.,"∀x.∀y.interestedIn(x,DiscountedFood)∧discounted(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|interestedIn(x,DiscountedFood)∧discounted(y))",obligation
