id,stakeholder,nl_norm,implication_formula,dyadic_formula,norm_type
INDUSTRY001,Food Industry,Sponsored products that are in stock should be recommended to users.,"∀x.∀y.sponsored(y)∧available(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|sponsored(y)∧available(y))",obligation
INDUSTRY002,Food Industry,Premium products should be recommended to premium customers.,"∀x.∀y.premiumProduct(y)∧premiumCustomer(x)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|premiumProduct(y)∧premiumCustomer(x))",obligation
INDUSTRY003,Food Industry,Certified products that are available should be recommended.,"∀x.∀y.certified(y)∧available(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|certified(y)∧available(y))",obligation
INDUSTRY004,Food Industry,Local products should be recommended to users interested in local food.,"∀x.∀y.localProduct(y)∧interestedIn(x,LocalFood)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|localProduct(y)∧interestedIn(x,LocalFood))",obligation
INDUSTRY005,Food Industry,Sustainable products should be recommended to users interested in sustainable food.,"∀x.∀y.sustainable(y)∧interestedIn(x,SustainableFood)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|sustainable(y)∧interestedIn(x,SustainableFood))",obligation
INDUSTRY006,Food Industry,Discounted products should be recommended to users interested in discounted food.,"∀x.∀y.discounted(y)∧interestedIn(x,DiscountedFood)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|discounted(y)∧interestedIn(x,DiscountedFood))",obligation
INDUSTRY007,Food Industry,Seasonal products should be recommended to users interested in seasonal food.,"∀x.∀y.seasonal(y)∧interestedIn(x,SeasonalFood)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|seasonal(y)∧interestedIn(x,SeasonalFood))",obligation
INDUSTRY008,Food Industry,New products should be recommended to users interested in new products.,"∀x.∀y.newProduct(y)∧interestedIn(x,NewProduct)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|newProduct(y)∧interestedIn(x,NewProduct))",obligation
INDUSTRY009,Food Industry,Available organic products should be recommended.,"∀x.∀y.organic(y)∧available(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|organic(y)∧available(y))",obligation
INDUSTRY010,Food Industry,Affordable products should be recommended to eligible users.,"∀x.∀y.affordable(y)∧eligible(x)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|affordable(y)∧eligible(x))",obligation
