id,stakeholder,formula_type,norm_type,original_nl,formula,backtranslated_nl,auto_semantic_score,auto_error_type,auto_notes,auto_direct_overlap,auto_original_concepts,auto_concept_hits,human_semantic_score,human_error_type,human_notes
USER001,User,implication,prohibition,Children should not receive energy drink recommendations.,"∀x.∀y.child(x)∧energyDrink(y)->F(recommend(System,y,x))","For every user and product, if the user is a child and the product is an energy drink, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,drink;energy,2,2,,,
USER001,User,dyadic,prohibition,Children should not receive energy drink recommendations.,"∀x.∀y.F(recommend(System,y,x)|child(x)∧energyDrink(y))","For every user and product, if the user is a child and the product is an energy drink, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,drink;energy,2,2,2,none,Faithful: child user + energy drink -> prohibited recommendation is preserved.
USER002,User,implication,prohibition,Children should not be recommended sugary snacks.,"∀x.∀y.child(x)∧sugarySnack(y)->F(recommend(System,y,x))","For every user and product, if the user is a child and the product is a sugary snack, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,sugary,2,2,,,
USER002,User,dyadic,prohibition,Children should not be recommended sugary snacks.,"∀x.∀y.F(recommend(System,y,x)|child(x)∧sugarySnack(y))","For every user and product, if the user is a child and the product is a sugary snack, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,sugary,2,2,,,
USER003,User,implication,prohibition,Children should not be recommended ultra-processed food.,"∀x.∀y.child(x)∧ultraProcessedFood(y)->F(recommend(System,y,x))","For every user and product, if the user is a child and the product is ultra-processed, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,ultraprocessed,1,1,,,
USER003,User,dyadic,prohibition,Children should not be recommended ultra-processed food.,"∀x.∀y.F(recommend(System,y,x)|child(x)∧ultraProcessedFood(y))","For every user and product, if the user is a child and the product is ultra-processed, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,ultraprocessed,1,1,,,
USER004,User,implication,permission,Children may be recommended healthy meals.,"∀x.∀y.child(x)∧healthyMeal(y)->P(recommend(System,y,x))","For every user and product, if the user is a child and the product is a healthy meal, then the system is permitted to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,healthy,1,1,2,none,Faithful: child user + healthy meal -> permitted recommendation is preserved.
USER004,User,dyadic,permission,Children may be recommended healthy meals.,"∀x.∀y.P(recommend(System,y,x)|child(x)∧healthyMeal(y))","For every user and product, if the user is a child and the product is a healthy meal, then the system is permitted to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,healthy,1,1,,,
USER005,User,implication,obligation,Children must be recommended low sugar food.,"∀x.∀y.child(x)∧lowSugarFood(y)->O(recommend(System,y,x))","For every user and product, if the user is a child and the product is low in sugar, then the system is obligated to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,low;sugar,2,2,,,
USER005,User,dyadic,obligation,Children must be recommended low sugar food.,"∀x.∀y.O(recommend(System,y,x)|child(x)∧lowSugarFood(y))","For every user and product, if the user is a child and the product is low in sugar, then the system is obligated to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,low;sugar,2,2,,,
USER006,User,implication,prohibition,Children should not be recommended spicy meals.,"∀x.∀y.child(x)∧spicyMeal(y)->F(recommend(System,y,x))","For every user and product, if the user is a child and the product is a spicy meal, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,spicy,2,2,,,
USER006,User,dyadic,prohibition,Children should not be recommended spicy meals.,"∀x.∀y.F(recommend(System,y,x)|child(x)∧spicyMeal(y))","For every user and product, if the user is a child and the product is a spicy meal, then the system is prohibited from recommending the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,spicy,2,2,,,
USER007,User,implication,permission,Children may be recommended mild meals.,"∀x.∀y.child(x)∧mildMeal(y)->P(recommend(System,y,x))","For every user and product, if the user is a child and the product is a mild meal, then the system is permitted to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,mild,2,2,,,
USER007,User,dyadic,permission,Children may be recommended mild meals.,"∀x.∀y.P(recommend(System,y,x)|child(x)∧mildMeal(y))","For every user and product, if the user is a child and the product is a mild meal, then the system is permitted to recommend the product to the user.",2,none,Automatic check found modality agreement and strong concept overlap.,mild,2,2,,,
