metric,value
total_rows,600
human_reviewed_rows,100
human_score_2,61
human_score_1,37
human_score_0,2
auto_human_exact_agreement_count,81
auto_human_exact_agreement_percent,81.0
auto_score_0_in_reviewed_set,4
auto_score_1_in_reviewed_set,46
auto_score_2_in_reviewed_set,50
human_error_type_missing_condition,37
human_error_type_none,61
human_error_type_wrong_condition,2
dyadic_human_score_2,29
dyadic_human_score_1,20
dyadic_human_score_0,1
implication_human_score_2,32
implication_human_score_1,17
implication_human_score_0,1
food_industry_human_score_2,14
food_industry_human_score_1,16
food_industry_human_score_0,0
food_ministry_human_score_2,18
food_ministry_human_score_1,10
food_ministry_human_score_0,0
user_human_score_2,29
user_human_score_1,11
user_human_score_0,2
