id,stakeholder,formulation_type,nl_norm,logic_formula
USER001,User,dyadic_prohibition,Children should not receive energy drink recommendations,"∀x.F(recommend(System,EnergyDrink)|child(x))"
USER002,User,dyadic_obligation,Diabetic users should receive low sugar food recommendations,"∀x.O(recommend(System,LowSugarFood)|diabetic(x))"
USER003,User,dyadic_permission,Vegan users may receive vegan meal recommendations,"∀x.P(recommend(System,VeganMeal)|vegan(x))"
USER004,User,implication_prohibition,Users allergic to nuts should not receive nut snack recommendations,"∀x.allergicTo(x,Nuts)->F(recommend(System,NutSnack))"
USER005,User,implication_obligation,Users requiring low salt should receive low salt food recommendations,"∀x.requiresLowSalt(x)->O(recommend(System,LowSaltFood))"
USER006,User,simple_permission,Users may receive approved food recommendations,"∀x.P(recommend(System,ApprovedFood))"
USER007,User,simple_obligation,Users should receive healthy meal recommendations,"∀x.O(recommend(System,HealthyMeal))"
USER008,User,simple_prohibition,Users should not receive restricted food recommendations,"∀x.F(recommend(System,RestrictedFood))"
USER009,User,dyadic_prohibition,Users allergic to shellfish should not receive shellfish meal recommendations,"∀x.F(recommend(System,ShellfishMeal)|allergicTo(x,Shellfish))"
USER010,User,dyadic_obligation,Vegetarian users should receive vegetarian meal recommendations,"∀x.O(recommend(System,VegetarianMeal)|vegetarian(x))"
USER011,User,dyadic_permission,Adults may receive salty snack recommendations when they do not require low salt,"∀x.P(recommend(System,SaltySnack)|adult(x)∧¬requiresLowSalt(x))"
USER012,User,implication_prohibition,Children who require low sugar should not receive sugary snack recommendations,"∀x.child(x)∧requiresLowSugar(x)->F(recommend(System,SugarySnack))"
USER013,User,implication_obligation,Diabetic users who prefer healthy meals should receive healthy meal recommendations,"∀x.diabetic(x)∧prefers(x,HealthyMeal)->O(recommend(System,HealthyMeal))"
USER014,User,implication_permission,Adults who prefer vegetarian meals may receive vegetarian meal recommendations,"∀x.adult(x)∧prefers(x,VegetarianMeal)->P(recommend(System,VegetarianMeal))"
USER015,User,dyadic_prohibition,Elderly users should not receive high salt snack recommendations,"∀x.F(recommend(System,SaltySnack)|elderly(x)∧highSalt(SaltySnack))"
USER016,User,dyadic_obligation,Users with low sugar requirements should receive low sugar food recommendations,"∀x.O(recommend(System,LowSugarFood)|requiresLowSugar(x)∧highSugar(SugarySnack))"
USER017,User,dyadic_permission,Users may receive healthy meals when the meal is nutritious,"∀x.P(recommend(System,HealthyMeal)|nutritious(HealthyMeal))"
USER018,User,implication_prohibition,Users who avoid ultra processed food should not receive ultra processed food recommendations,"∀x.avoids(x,UltraProcessedFood)->F(recommend(System,UltraProcessedFood))"
USER019,User,implication_obligation,Users who prefer vegan meals and are vegan should receive vegan meal recommendations,"∀x.vegan(x)∧prefers(x,VeganMeal)->O(recommend(System,VeganMeal))"
USER020,User,implication_permission,Users who prefer approved food may receive approved food recommendations,"∀x.prefers(x,ApprovedFood)->P(recommend(System,ApprovedFood))"
USER021,User,dyadic_prohibition,Children or diabetic users should not receive sugary snack recommendations,"∀x.F(recommend(System,SugarySnack)|child(x)∨diabetic(x))"
USER022,User,dyadic_obligation,Elderly users or hypertensive users should receive low salt food recommendations,"∀x.O(recommend(System,LowSaltFood)|elderly(x)∨hypertensive(x))"
USER023,User,dyadic_permission,Adult users may receive energy drink recommendations,"∀x.P(recommend(System,EnergyDrink)|adult(x))"
USER024,User,implication_prohibition,Hypertensive users should not receive salty snack recommendations,"∀x.hypertensive(x)->F(recommend(System,SaltySnack))"
