id,stakeholder,nl_norm,implication_formula,dyadic_formula,norm_type
USER001,User,Children should not receive energy drink recommendations.,"∀x.∀y.child(x)∧energyDrink(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧energyDrink(y))",prohibition
USER002,User,Children should not be recommended sugary snacks.,"∀x.∀y.child(x)∧sugarySnack(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧sugarySnack(y))",prohibition
USER003,User,Children should not be recommended ultra-processed food.,"∀x.∀y.child(x)∧ultraProcessedFood(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧ultraProcessedFood(y))",prohibition
USER004,User,Children may be recommended healthy meals.,"∀x.∀y.child(x)∧healthyMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|child(x)∧healthyMeal(y))",permission
USER005,User,Children must be recommended low sugar food.,"∀x.∀y.child(x)∧lowSugarFood(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|child(x)∧lowSugarFood(y))",obligation
USER006,User,Children should not be recommended spicy meals.,"∀x.∀y.child(x)∧spicyMeal(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧spicyMeal(y))",prohibition
USER007,User,Children may be recommended mild meals.,"∀x.∀y.child(x)∧mildMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|child(x)∧mildMeal(y))",permission
USER008,User,Adults may be recommended energy drinks.,"∀x.∀y.adult(x)∧energyDrink(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|adult(x)∧energyDrink(y))",permission
USER009,User,Adults may be recommended spicy meals.,"∀x.∀y.adult(x)∧spicyMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|adult(x)∧spicyMeal(y))",permission
USER010,User,Adults may be recommended affordable meals.,"∀x.∀y.adult(x)∧affordableMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|adult(x)∧affordableMeal(y))",permission
USER011,User,Elderly users should be recommended low salt food.,"∀x.∀y.elderly(x)∧lowSaltFood(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|elderly(x)∧lowSaltFood(y))",obligation
USER012,User,Elderly users should not be recommended salty snacks.,"∀x.∀y.elderly(x)∧saltySnack(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|elderly(x)∧saltySnack(y))",prohibition
USER013,User,Elderly users may be recommended healthy meals.,"∀x.∀y.elderly(x)∧healthyMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|elderly(x)∧healthyMeal(y))",permission
USER014,User,Elderly users should not be recommended ultra-processed food.,"∀x.∀y.elderly(x)∧ultraProcessedFood(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|elderly(x)∧ultraProcessedFood(y))",prohibition
USER015,User,Pregnant users should not be recommended energy drinks.,"∀x.∀y.pregnant(x)∧energyDrink(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|pregnant(x)∧energyDrink(y))",prohibition
USER016,User,Pregnant users must be recommended healthy meals.,"∀x.∀y.pregnant(x)∧healthyMeal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|pregnant(x)∧healthyMeal(y))",obligation
USER017,User,Pregnant users should not be recommended shellfish meals.,"∀x.∀y.pregnant(x)∧shellfishMeal(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|pregnant(x)∧shellfishMeal(y))",prohibition
USER018,User,Pregnant users may be recommended low sugar food.,"∀x.∀y.pregnant(x)∧lowSugarFood(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|pregnant(x)∧lowSugarFood(y))",permission
USER019,User,Diabetic users should not be recommended sugary snacks.,"∀x.∀y.diabetic(x)∧sugarySnack(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|diabetic(x)∧sugarySnack(y))",prohibition
USER020,User,Diabetic users must be recommended low sugar food.,"∀x.∀y.diabetic(x)∧lowSugarFood(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|diabetic(x)∧lowSugarFood(y))",obligation
USER021,User,Diabetic users should not be recommended energy drinks.,"∀x.∀y.diabetic(x)∧energyDrink(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|diabetic(x)∧energyDrink(y))",prohibition
USER022,User,Diabetic users may be recommended healthy meals.,"∀x.∀y.diabetic(x)∧healthyMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|diabetic(x)∧healthyMeal(y))",permission
USER023,User,Hypertensive users should not be recommended salty snacks.,"∀x.∀y.hypertensive(x)∧saltySnack(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|hypertensive(x)∧saltySnack(y))",prohibition
USER024,User,Hypertensive users must be recommended low salt food.,"∀x.∀y.hypertensive(x)∧lowSaltFood(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|hypertensive(x)∧lowSaltFood(y))",obligation
USER025,User,Hypertensive users should not be recommended ultra-processed food.,"∀x.∀y.hypertensive(x)∧ultraProcessedFood(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|hypertensive(x)∧ultraProcessedFood(y))",prohibition
USER026,User,Hypertensive users may be recommended Mediterranean meals.,"∀x.∀y.hypertensive(x)∧mediterraneanMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|hypertensive(x)∧mediterraneanMeal(y))",permission
USER027,User,Users allergic to nuts should not be recommended nut snacks.,"∀x.∀y.allergicTo(x,Nuts)∧nutSnack(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|allergicTo(x,Nuts)∧nutSnack(y))",prohibition
USER028,User,Users allergic to nuts should not be recommended food containing nuts.,"∀x.∀y.allergicTo(x,Nuts)∧contains(y,Nuts)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|allergicTo(x,Nuts)∧contains(y,Nuts))",prohibition
USER029,User,Users allergic to shellfish should not be recommended shellfish meals.,"∀x.∀y.allergicTo(x,Shellfish)∧shellfishMeal(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|allergicTo(x,Shellfish)∧shellfishMeal(y))",prohibition
USER030,User,Users allergic to shellfish should not be recommended food containing shellfish.,"∀x.∀y.allergicTo(x,Shellfish)∧contains(y,Shellfish)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|allergicTo(x,Shellfish)∧contains(y,Shellfish))",prohibition
USER031,User,Vegan users must be recommended vegan meals.,"∀x.∀y.vegan(x)∧veganMeal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|vegan(x)∧veganMeal(y))",obligation
USER032,User,Vegan users should not be recommended non-vegan products.,"∀x.∀y.vegan(x)∧nonVegan(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|vegan(x)∧nonVegan(y))",prohibition
USER033,User,Vegan users may be recommended sustainable meals.,"∀x.∀y.vegan(x)∧sustainableMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|vegan(x)∧sustainableMeal(y))",permission
USER034,User,Vegetarian users may be recommended vegetarian meals.,"∀x.∀y.vegetarian(x)∧vegetarianMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|vegetarian(x)∧vegetarianMeal(y))",permission
USER035,User,Vegetarian users should not be recommended shellfish meals.,"∀x.∀y.vegetarian(x)∧shellfishMeal(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|vegetarian(x)∧shellfishMeal(y))",prohibition
USER036,User,Users who require halal food must be recommended halal meals.,"∀x.∀y.requiresHalal(x)∧halalMeal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|requiresHalal(x)∧halalMeal(y))",obligation
USER037,User,Users who require halal food may be recommended certified halal products.,"∀x.∀y.requiresHalal(x)∧certifiedHalal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|requiresHalal(x)∧certifiedHalal(y))",permission
USER038,User,Users who require kosher food must be recommended kosher meals.,"∀x.∀y.requiresKosher(x)∧kosherMeal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|requiresKosher(x)∧kosherMeal(y))",obligation
USER039,User,Users who require kosher food may be recommended certified kosher products.,"∀x.∀y.requiresKosher(x)∧certifiedKosher(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|requiresKosher(x)∧certifiedKosher(y))",permission
USER040,User,Users who require kosher food should not be recommended shellfish meals.,"∀x.∀y.requiresKosher(x)∧shellfishMeal(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|requiresKosher(x)∧shellfishMeal(y))",prohibition
USER041,User,Users who require gluten-free food must be recommended gluten-free meals.,"∀x.∀y.requiresGlutenFree(x)∧glutenFreeMeal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|requiresGlutenFree(x)∧glutenFreeMeal(y))",obligation
USER042,User,Users who require gluten-free food may be recommended certified gluten-free products.,"∀x.∀y.requiresGlutenFree(x)∧certifiedGlutenFree(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|requiresGlutenFree(x)∧certifiedGlutenFree(y))",permission
USER043,User,Gluten sensitive users should not be recommended non gluten-free meals.,"∀x.∀y.glutenSensitive(x)∧¬glutenFreeMeal(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|glutenSensitive(x)∧¬glutenFreeMeal(y))",prohibition
USER044,User,Users who require lactose-free food must be recommended lactose-free meals.,"∀x.∀y.requiresLactoseFree(x)∧lactoseFreeMeal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|requiresLactoseFree(x)∧lactoseFreeMeal(y))",obligation
USER045,User,Lactose intolerant users may be recommended certified lactose-free products.,"∀x.∀y.lactoseIntolerant(x)∧certifiedLactoseFree(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|lactoseIntolerant(x)∧certifiedLactoseFree(y))",permission
USER046,User,Lactose intolerant users should not be recommended non lactose-free meals.,"∀x.∀y.lactoseIntolerant(x)∧¬lactoseFreeMeal(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|lactoseIntolerant(x)∧¬lactoseFreeMeal(y))",prohibition
USER047,User,Users who require low sugar must be recommended low sugar food.,"∀x.∀y.requiresLowSugar(x)∧lowSugarFood(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|requiresLowSugar(x)∧lowSugarFood(y))",obligation
USER048,User,Users who require low sugar should not be recommended sugary snacks.,"∀x.∀y.requiresLowSugar(x)∧sugarySnack(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|requiresLowSugar(x)∧sugarySnack(y))",prohibition
USER049,User,Users who require low salt must be recommended low salt food.,"∀x.∀y.requiresLowSalt(x)∧lowSaltFood(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|requiresLowSalt(x)∧lowSaltFood(y))",obligation
USER050,User,Users who require low salt should not be recommended salty snacks.,"∀x.∀y.requiresLowSalt(x)∧saltySnack(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|requiresLowSalt(x)∧saltySnack(y))",prohibition
USER051,User,Users may be recommended products they prefer.,"∀x.∀y.prefers(x,y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|prefers(x,y))",permission
USER052,User,Users should not be recommended products they avoid.,"∀x.∀y.avoids(x,y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|avoids(x,y))",prohibition
USER053,User,Users who prefer Mediterranean cuisine may be recommended Mediterranean meals.,"∀x.∀y.prefers(x,y)∧mediterraneanMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|prefers(x,y)∧mediterraneanMeal(y))",permission
USER054,User,Users who prefer Asian cuisine may be recommended Asian meals.,"∀x.∀y.prefers(x,y)∧asianMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|prefers(x,y)∧asianMeal(y))",permission
USER055,User,Users who prefer affordable food may be recommended affordable meals.,"∀x.∀y.prefers(x,y)∧affordableMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|prefers(x,y)∧affordableMeal(y))",permission
USER056,User,Users may be recommended organic food.,"∀x.∀y.organicFood(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|organicFood(y))",permission
USER057,User,Users may be recommended sustainable meals.,"∀x.∀y.sustainableMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|sustainableMeal(y))",permission
USER058,User,Diabetic or hypertensive users may be recommended healthy meals.,"∀x.∀y.(diabetic(x)∨hypertensive(x))∧healthyMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|(diabetic(x)∨hypertensive(x))∧healthyMeal(y))",permission
USER059,User,Diabetic or hypertensive users should not be recommended ultra-processed food.,"∀x.∀y.(diabetic(x)∨hypertensive(x))∧ultraProcessedFood(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|(diabetic(x)∨hypertensive(x))∧ultraProcessedFood(y))",prohibition
USER060,User,Children or elderly users should not be recommended energy drinks.,"∀x.∀y.(child(x)∨elderly(x))∧energyDrink(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|(child(x)∨elderly(x))∧energyDrink(y))",prohibition
USER061,User,Pregnant or elderly users may be recommended low salt food.,"∀x.∀y.(pregnant(x)∨elderly(x))∧lowSaltFood(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|(pregnant(x)∨elderly(x))∧lowSaltFood(y))",permission
USER062,User,Vegan or vegetarian users may be recommended vegetarian meals.,"∀x.∀y.(vegan(x)∨vegetarian(x))∧vegetarianMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|(vegan(x)∨vegetarian(x))∧vegetarianMeal(y))",permission
USER063,User,Users requiring halal or kosher food may be recommended certified meals.,"∀x.∀y.(requiresHalal(x)∨requiresKosher(x))∧healthyMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|(requiresHalal(x)∨requiresKosher(x))∧healthyMeal(y))",permission
USER064,User,Users who are diabetic or require low sugar should not be recommended sugary snacks.,"∀x.∀y.(diabetic(x)∨requiresLowSugar(x))∧sugarySnack(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|(diabetic(x)∨requiresLowSugar(x))∧sugarySnack(y))",prohibition
