ID,NL_norm,logic_formula
1,Users should consume fruits,"O(consume(user,fruits))"
2,Users should not consume sugary soda,"O(¬consume(user,sugary_soda))"
3,Users are permitted to consume whole grains,"P(consume(user,whole_grains))"
4,Users should consume legumes,"O(consume(user,legumes))"
5,Users should avoid fried food,"O(¬consume(user,fried_food))"
6,Users may consume nuts,"P(consume(user,nuts))"
7,Users should consume fiber rich food,"O(consume(user,fiber_rich_food))"
8,Users should not consume excessive caffeine,"O(¬consume(user,excessive_caffeine))"
9,Users are permitted to consume fresh juice,"P(consume(user,fresh_juice))"
10,Users should consume breakfast,"O(consume(user,breakfast))"
11,"If users are elderly, they should consume calcium rich food","elderly(user)→O(consume(user,calcium_rich_food))"
12,"If users are elderly, they should not consume excessive salt","elderly(user)→O(¬consume(user,excessive_salt))"
13,"If users are athletes, they should consume protein rich meals","athlete(user)→O(consume(user,protein_rich_meal))"
14,"If users are athletes, they may consume sports drinks","athlete(user)→P(consume(user,sports_drink))"
15,"If users are pregnant, they should consume iron rich food","pregnant(user)→O(consume(user,iron_rich_food))"
16,"If users are pregnant, they should not consume raw fish","pregnant(user)→O(¬consume(user,raw_fish))"
17,"If users are lactose intolerant, they should not consume dairy","lactose_intolerant(user)→O(¬consume(user,dairy))"
18,"If users are lactose intolerant, they may consume lactose free milk","lactose_intolerant(user)→P(consume(user,lactose_free_milk))"
19,"If users are children, they should consume fruits","child(user)→O(consume(user,fruits))"
20,"If users are elderly, they should consume soft food","elderly(user)→O(consume(user,soft_food))"
21,Users should consume probiotic food,"O(consume(user,probiotic_food))"
22,Users should consume fermented food,"O(consume(user,fermented_food))"
23,Users should consume home cooked meals,"O(consume(user,home_cooked_meal))"
24,Users should not consume instant noodles,"O(¬consume(user,instant_noodles))"
25,Users may consume dark chocolate,"P(consume(user,dark_chocolate))"
26,Users should consume omega three rich food,"O(consume(user,omega_three_food))"
27,Users should avoid trans fat,"O(¬consume(user,trans_fat))"
28,Users should consume low fat yogurt,"O(consume(user,low_fat_yogurt))"
29,Users may consume seafood,"P(consume(user,seafood))"
30,Users should not consume oversized portions,"O(¬consume(user,oversized_portion))"
31,Users should consume fruits and legumes,"O(consume(user,fruits)∧consume(user,legumes))"
32,Users may consume nuts or dark chocolate,"P(consume(user,nuts)∨consume(user,dark_chocolate))"
33,Users should not consume fried food and sugary soda,"O(¬consume(user,fried_food)∧¬consume(user,sugary_soda))"
34,Users may consume fresh juice or probiotic food,"P(consume(user,fresh_juice)∨consume(user,probiotic_food))"
35,Users should consume breakfast and fruits,"O(consume(user,breakfast)∧consume(user,fruits))"
36,Users may consume seafood or legumes,"P(consume(user,seafood)∨consume(user,legumes))"
37,Users should avoid trans fat and instant noodles,"O(¬consume(user,trans_fat)∧¬consume(user,instant_noodles))"
38,Users may consume fermented food or low fat yogurt,"P(consume(user,fermented_food)∨consume(user,low_fat_yogurt))"
39,Users should consume fiber rich food and water,"O(consume(user,fiber_rich_food)∧consume(user,water))"
40,Users may consume whole grains or fruits,"P(consume(user,whole_grains)∨consume(user,fruits))"
41,Users should not consume dairy if lactose intolerant,"lactose_intolerant(user)→O(¬consume(user,dairy))"
42,Users should consume iron rich food if pregnant,"pregnant(user)→O(consume(user,iron_rich_food))"
43,Users should avoid sugary soda if diabetic,"diabetic(user)→O(¬consume(user,sugary_soda))"
44,Users may consume seafood if adult,"adult(user)→P(consume(user,seafood))"
45,Users should consume breakfast if child,"child(user)→O(consume(user,breakfast))"
46,Users should consume calcium rich food if elderly,"elderly(user)→O(consume(user,calcium_rich_food))"
47,Users may consume dairy if not lactose intolerant,"¬lactose_intolerant(user)→P(consume(user,dairy))"
48,Users should avoid fried food if child,"child(user)→O(¬consume(user,fried_food))"
49,Users may consume protein shakes if athlete,"athlete(user)→P(consume(user,protein_shake))"
50,Users should consume fruits if pregnant,"pregnant(user)→O(consume(user,fruits))"
51,Users should not consume sugary soda and fried food,"O(¬consume(user,sugary_soda)∧¬consume(user,fried_food))"
52,Users may consume nuts or seafood,"P(consume(user,nuts)∨consume(user,seafood))"
53,Users should consume whole grains and legumes,"O(consume(user,whole_grains)∧consume(user,legumes))"
54,Users may consume fermented food or fresh juice,"P(consume(user,fermented_food)∨consume(user,fresh_juice))"
55,Users should avoid trans fat and excessive salt,"O(¬consume(user,trans_fat)∧¬consume(user,excessive_salt))"
56,Users may consume breakfast or fruits,"P(consume(user,breakfast)∨consume(user,fruits))"
57,Users should consume probiotic food and fiber rich food,"O(consume(user,probiotic_food)∧consume(user,fiber_rich_food))"
58,Users may consume home cooked meals or whole grains,"P(consume(user,home_cooked_meal)∨consume(user,whole_grains))"
59,Users should avoid sugary soda and oversized portions,"O(¬consume(user,sugary_soda)∧¬consume(user,oversized_portion))"
60,Users may consume low fat yogurt or nuts,"P(consume(user,low_fat_yogurt)∨consume(user,nuts))"
61,Users should consume vitamin rich food,"O(consume(user,vitamin_rich_food))"
62,Users are permitted to consume herbal tea,"P(consume(user,herbal_tea))"
63,Users should consume seeds,"O(consume(user,seeds))"
