id,stakeholder,formulation_type,NL_norm,logic_formula
1,user,dyadic,"Vegetarian users should not be recommended meals containing meat products.","∀x. F(recommend(system,MeatMeal) | vegetarian(x))"
2,user,dyadic,"Diabetic users should receive recommendations for low sugar food options whenever possible.","∀x. O(recommend(system,LowSugarFood) | diabetic(x))"
3,user,dyadic,"Children should not receive recommendations for energy drinks or highly caffeinated beverages.","∀x. F(recommend(system,EnergyDrink) | child(x))"
4,user,dyadic,"Users following halal dietary practices should only receive halal-certified meal recommendations.","∀x. O(recommend(system,HalalMeal) | halal(x))"
5,user,dyadic,"Users with nut allergies should never be recommended meals containing peanuts or almonds.","∀x. F(recommend(system,NutContainingMeal) | nutAllergy(x))"
6,user,dyadic,"Pregnant users should not receive recommendations for raw seafood products.","∀x. F(recommend(system,RawSeafoodMeal) | pregnant(x))"
7,user,dyadic,"Elderly users should receive recommendations for meals that are low in sodium.","∀x. O(recommend(system,LowSodiumMeal) | elder(x))"
8,user,dyadic,"Users preferring vegan diets should not be recommended dairy-based meals.","∀x. F(recommend(system,DairyMeal) | vegan(x))"
9,user,dyadic,"Users interested in fitness should receive protein-rich meal recommendations.","∀x. O(recommend(system,ProteinMeal) | fitnessUser(x))"
10,user,dyadic,"Users who prefer organic food should be allowed to filter organic meal providers.","∀x. P(filter(system,OrganicProvider) | organicPreference(x))"
11,user,dyadic,"Users with lactose intolerance should not receive milk-based meal recommendations.","∀x. F(recommend(system,MilkMeal) | lactoseIntolerant(x))"
12,user,dyadic,"Users with hypertension should receive recommendations for heart-healthy meals.","∀x. O(recommend(system,HeartHealthyMeal) | hypertension(x))"
13,user,dyadic,"Children should receive healthy breakfast recommendations in the morning.","∀x. O(recommend(system,HealthyBreakfast) | child(x))"
14,user,dyadic,"Users following kosher diets should only receive kosher-certified meal recommendations.","∀x. O(recommend(system,KosherMeal) | kosher(x))"
15,user,dyadic,"Users allergic to shellfish should not receive seafood meal recommendations.","∀x. F(recommend(system,ShellfishMeal) | shellfishAllergy(x))"
16,user,dyadic,"Users attempting weight loss should receive low calorie meal recommendations.","∀x. O(recommend(system,LowCalorieMeal) | weightLoss(x))"
17,user,dyadic,"Users preferring gluten-free diets should not receive wheat-based meals.","∀x. F(recommend(system,WheatMeal) | glutenFree(x))"
18,user,dyadic,"Users following Mediterranean diets should receive olive oil based meal recommendations.","∀x. O(recommend(system,MediterraneanMeal) | mediterraneanDiet(x))"
19,user,dyadic,"Users sensitive to caffeine should not receive energy drink recommendations.","∀x. F(recommend(system,EnergyDrink) | caffeineSensitive(x))"
20,user,dyadic,"Users who are athletes should receive high protein snack recommendations.","∀x. O(recommend(system,ProteinSnack) | athlete(x))"
