id,stakeholder,formula_type,norm_type,original_nl,formula,backtranslated_nl,auto_semantic_score,auto_error_type,auto_notes,auto_direct_overlap,auto_original_concepts,auto_concept_hits,human_semantic_score,human_error_type,human_notes
USER045,User,implication,permission,Lactose intolerant users may be recommended certified lactose-free products.,"∀x.∀y.lactoseIntolerant(x)∧certifiedLactoseFree(y)->P(recommend(System,y,x))","For every user and product, if the product is certified lactose-free and the user is lactose-intolerant, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,certified;lactosefree,2,1,2,none,Faithful: lactose-intolerant user + certified lactose-free product -> permitted recommendation. Auto-1 is conservative due to token overlap.
USER045,User,dyadic,permission,Lactose intolerant users may be recommended certified lactose-free products.,"∀x.∀y.P(recommend(System,y,x)|lactoseIntolerant(x)∧certifiedLactoseFree(y))","For every user and product, if the product is certified lactose-free and the user is lactose-intolerant, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,certified;lactosefree,2,1,2,none,Faithful: lactose-intolerant user + certified lactose-free product -> permitted recommendation. Auto-1 is conservative due to token overlap.
USER046,User,implication,prohibition,Lactose intolerant users should not be recommended non lactose-free meals.,"∀x.∀y.lactoseIntolerant(x)∧¬lactoseFreeMeal(y)->F(recommend(System,y,x))","For every user and product, if the user is lactose-intolerant and it is not the case that the product is a lactose-free meal, then the system is prohibited from recommending the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,lactosefree,1,0,2,none,Faithful: lactose-intolerant user + not lactose-free meal -> prohibited recommendation. Auto-1 is conservative due to negation/token overlap.
USER046,User,dyadic,prohibition,Lactose intolerant users should not be recommended non lactose-free meals.,"∀x.∀y.F(recommend(System,y,x)|lactoseIntolerant(x)∧¬lactoseFreeMeal(y))","For every user and product, if the user is lactose-intolerant and it is not the case that the product is a lactose-free meal, then the system is prohibited from recommending the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,lactosefree,1,0,2,none,Faithful: lactose-intolerant user + not lactose-free meal -> prohibited recommendation. Auto-1 is conservative due to negation/token overlap.
USER051,User,implication,permission,Users may be recommended products they prefer.,"∀x.∀y.prefers(x,y)->P(recommend(System,y,x))","For every user and product, if the user prefers the product, then the system is permitted to recommend the product to the user.",0,semantic_mismatch_possible,Automatic check found weak modality or concept agreement; human review needed.,,0,0,2,none,"Faithful: if the user prefers the product, the system is permitted to recommend it. Auto-0 is overly conservative for this short norm."
USER051,User,dyadic,permission,Users may be recommended products they prefer.,"∀x.∀y.P(recommend(System,y,x)|prefers(x,y))","For every user and product, if the user prefers the product, then the system is permitted to recommend the product to the user.",0,semantic_mismatch_possible,Automatic check found weak modality or concept agreement; human review needed.,,0,0,2,none,"Faithful: if the user prefers the product, the system is permitted to recommend it. Auto-0 is overly conservative for this short norm."
USER052,User,implication,prohibition,Users should not be recommended products they avoid.,"∀x.∀y.avoids(x,y)->F(recommend(System,y,x))","For every user and product, if the user avoids the product, then the system is prohibited from recommending the product to the user.",0,semantic_mismatch_possible,Automatic check found weak modality or concept agreement; human review needed.,,0,0,2,none,"Faithful: if the user avoids the product, the system is prohibited from recommending it. Auto-0 is overly conservative for this short norm."
USER052,User,dyadic,prohibition,Users should not be recommended products they avoid.,"∀x.∀y.F(recommend(System,y,x)|avoids(x,y))","For every user and product, if the user avoids the product, then the system is prohibited from recommending the product to the user.",0,semantic_mismatch_possible,Automatic check found weak modality or concept agreement; human review needed.,,0,0,2,none,"Faithful: if the user avoids the product, the system is prohibited from recommending it. Auto-0 is overly conservative for this short norm."
USER058,User,implication,permission,Diabetic or hypertensive users may be recommended healthy meals.,"∀x.∀y.(diabetic(x)∨hypertensive(x))∧healthyMeal(y)->P(recommend(System,y,x))","For every user and product, if the user is diabetic and the product is a healthy meal, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,diabetic;healthy,2,1,1,missing_condition,"Partially preserved: permission + healthy meal + diabetic user condition are preserved, but the hypertensive user condition from the original/formula is missing in the backtranslation."
USER058,User,dyadic,permission,Diabetic or hypertensive users may be recommended healthy meals.,"∀x.∀y.P(recommend(System,y,x)|(diabetic(x)∨hypertensive(x))∧healthyMeal(y))","For every user and product, if the user is diabetic and the product is a healthy meal, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,diabetic;healthy,2,1,1,missing_condition,"Partially preserved: permission + healthy meal + diabetic user condition are preserved, but the hypertensive user condition from the original/formula is missing in the backtranslation."
USER059,User,implication,prohibition,Diabetic or hypertensive users should not be recommended ultra-processed food.,"∀x.∀y.(diabetic(x)∨hypertensive(x))∧ultraProcessedFood(y)->F(recommend(System,y,x))","For every user and product, if the user is diabetic and the product is ultra-processed, then the system is prohibited from recommending the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,diabetic;ultraprocessed,2,1,1,missing_condition,"Partially preserved: prohibition + ultra-processed food + diabetic user condition are preserved, but the hypertensive user condition from the original/formula is missing in the backtranslation."
USER059,User,dyadic,prohibition,Diabetic or hypertensive users should not be recommended ultra-processed food.,"∀x.∀y.F(recommend(System,y,x)|(diabetic(x)∨hypertensive(x))∧ultraProcessedFood(y))","For every user and product, if the user is diabetic and the product is ultra-processed, then the system is prohibited from recommending the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,diabetic;ultraprocessed,2,1,1,missing_condition,"Partially preserved: prohibition + ultra-processed food + diabetic user condition are preserved, but the hypertensive user condition from the original/formula is missing in the backtranslation."
USER060,User,implication,prohibition,Children or elderly users should not be recommended energy drinks.,"∀x.∀y.(child(x)∨elderly(x))∧energyDrink(y)->F(recommend(System,y,x))","For every user and product, if the user is a child and the product is an energy drink, then the system is prohibited from recommending the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,energy,3,2,1,missing_condition,"Partially preserved: prohibition + energy drink + child condition are preserved, but the elderly user condition from the original/formula is missing in the backtranslation."
USER060,User,dyadic,prohibition,Children or elderly users should not be recommended energy drinks.,"∀x.∀y.F(recommend(System,y,x)|(child(x)∨elderly(x))∧energyDrink(y))","For every user and product, if the user is a child and the product is an energy drink, then the system is prohibited from recommending the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,energy,3,2,1,missing_condition,"Partially preserved: prohibition + energy drink + child condition are preserved, but the elderly user condition from the original/formula is missing in the backtranslation."
USER061,User,implication,permission,Pregnant or elderly users may be recommended low salt food.,"∀x.∀y.(pregnant(x)∨elderly(x))∧lowSaltFood(y)->P(recommend(System,y,x))","For every user and product, if the product is low in salt and the user is pregnant, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,low;pregnant;salt,3,2,1,missing_condition,"Partially preserved: permission + low-salt food + pregnant user condition are preserved, but the elderly user condition from the original/formula is missing in the backtranslation."
USER061,User,dyadic,permission,Pregnant or elderly users may be recommended low salt food.,"∀x.∀y.P(recommend(System,y,x)|(pregnant(x)∨elderly(x))∧lowSaltFood(y))","For every user and product, if the product is low in salt and the user is pregnant, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,low;pregnant;salt,3,2,1,missing_condition,"Partially preserved: permission + low-salt food + pregnant user condition are preserved, but the elderly user condition from the original/formula is missing in the backtranslation."
USER063,User,implication,permission,Users requiring halal or kosher food may be recommended certified meals.,"∀x.∀y.(requiresHalal(x)∨requiresKosher(x))∧healthyMeal(y)->P(recommend(System,y,x))","For every user and product, if the product is a healthy meal and the user requires halal food, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,halal,3,1,0,wrong_condition,"the formula changes the product condition from certified meals to healthy meals, and the backtranslation also drops the kosher condition. The original norm is not preserved."
USER063,User,dyadic,permission,Users requiring halal or kosher food may be recommended certified meals.,"∀x.∀y.P(recommend(System,y,x)|(requiresHalal(x)∨requiresKosher(x))∧healthyMeal(y))","For every user and product, if the product is a healthy meal and the user requires halal food, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,halal,3,1,0,wrong_condition,"the formula changes the product condition from certified meals to healthy meals, and the backtranslation also drops the kosher condition. The original norm is not preserved."
USER066,User,implication,permission,Lactose intolerant or gluten sensitive users may be recommended healthy meals.,"∀x.∀y.(lactoseIntolerant(x)∨glutenSensitive(x))∧healthyMeal(y)->P(recommend(System,y,x))","For every user and product, if the product is a healthy meal and the user is lactose-intolerant, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,healthy,2,0,1,missing_condition,"Partially preserved: permission + healthy meal + lactose-intolerant user condition are preserved, but the gluten-sensitive user condition from the original/formula is missing in the backtranslation."
USER066,User,dyadic,permission,Lactose intolerant or gluten sensitive users may be recommended healthy meals.,"∀x.∀y.P(recommend(System,y,x)|(lactoseIntolerant(x)∨glutenSensitive(x))∧healthyMeal(y))","For every user and product, if the product is a healthy meal and the user is lactose-intolerant, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,healthy,2,0,1,missing_condition,"Partially preserved: permission + healthy meal + lactose-intolerant user condition are preserved, but the gluten-sensitive user condition from the original/formula is missing in the backtranslation."
