id,stakeholder,nl_norm,implication_formula,dyadic_formula,norm_type
USER001,User,Children should not receive energy drink recommendations,"∀x.∀y.child(x)∧energyDrink(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧energyDrink(y))",prohibition
USER002,User,Children should not receive high sugar product recommendations,"∀x.∀y.child(x)∧highSugarProduct(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧highSugarProduct(y))",prohibition
USER003,User,Children should receive healthy meal recommendations,"∀x.∀y.child(x)∧healthyMeal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|child(x)∧healthyMeal(y))",obligation
USER004,User,Children may receive mild meal recommendations,"∀x.∀y.child(x)∧mildMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|child(x)∧mildMeal(y))",permission
USER005,User,Children should not receive ultra processed food recommendations,"∀x.∀y.child(x)∧ultraProcessedFood(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧ultraProcessedFood(y))",prohibition
USER006,User,Diabetic users should receive low sugar food recommendations,"∀x.∀y.diabetic(x)∧lowSugarFood(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|diabetic(x)∧lowSugarFood(y))",obligation
USER007,User,Diabetic users should not receive sugary snack recommendations,"∀x.∀y.diabetic(x)∧sugarySnack(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|diabetic(x)∧sugarySnack(y))",prohibition
USER008,User,Diabetic users may receive certified healthy meal recommendations,"∀x.∀y.diabetic(x)∧healthyMeal(y)∧certifiedHealthy(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|diabetic(x)∧healthyMeal(y)∧certifiedHealthy(y))",permission
USER009,User,Diabetic users should not receive energy drinks that are high sugar products,"∀x.∀y.diabetic(x)∧energyDrink(y)∧highSugarProduct(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|diabetic(x)∧energyDrink(y)∧highSugarProduct(y))",prohibition
USER010,User,Diabetic users should receive affordable low sugar food recommendations,"∀x.∀y.diabetic(x)∧lowSugarFood(y)∧affordableMeal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|diabetic(x)∧lowSugarFood(y)∧affordableMeal(y))",obligation
USER011,User,Hypertensive users should receive low salt food recommendations,"∀x.∀y.hypertensive(x)∧lowSaltFood(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|hypertensive(x)∧lowSaltFood(y))",obligation
USER012,User,Hypertensive users should not receive salty snack recommendations,"∀x.∀y.hypertensive(x)∧saltySnack(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|hypertensive(x)∧saltySnack(y))",prohibition
USER013,User,Hypertensive users may receive healthy low salt meal recommendations,"∀x.∀y.hypertensive(x)∧healthyMeal(y)∧lowSaltFood(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|hypertensive(x)∧healthyMeal(y)∧lowSaltFood(y))",permission
USER014,User,Users requiring low salt food should not receive high salt products,"∀x.∀y.requiresLowSalt(x)∧highSaltProduct(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|requiresLowSalt(x)∧highSaltProduct(y))",prohibition
USER015,User,Users requiring low salt food should receive low salt alternatives,"∀x.∀y.requiresLowSalt(x)∧lowSaltFood(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|requiresLowSalt(x)∧lowSaltFood(y))",obligation
USER016,User,Pregnant users should receive safe meal recommendations,"∀x.∀y.pregnant(x)∧safeForPregnantUsers(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|pregnant(x)∧safeForPregnantUsers(y))",obligation
USER017,User,Pregnant users should not receive energy drink recommendations,"∀x.∀y.pregnant(x)∧energyDrink(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|pregnant(x)∧energyDrink(y))",prohibition
USER018,User,Pregnant users may receive mild healthy meal recommendations,"∀x.∀y.pregnant(x)∧mildMeal(y)∧healthyMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|pregnant(x)∧mildMeal(y)∧healthyMeal(y))",permission
USER019,User,Pregnant users should not receive products requiring safety warnings,"∀x.∀y.pregnant(x)∧requiresWarning(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|pregnant(x)∧requiresWarning(y))",prohibition
USER020,User,Pregnant users should receive affordable healthy meal recommendations,"∀x.∀y.pregnant(x)∧healthyMeal(y)∧affordableMeal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|pregnant(x)∧healthyMeal(y)∧affordableMeal(y))",obligation
USER021,User,Elderly users should receive healthy meal recommendations,"∀x.∀y.elderly(x)∧healthyMeal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|elderly(x)∧healthyMeal(y))",obligation
USER022,User,Elderly users should not receive high salt product recommendations,"∀x.∀y.elderly(x)∧highSaltProduct(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|elderly(x)∧highSaltProduct(y))",prohibition
USER023,User,Elderly users may receive low sugar food recommendations,"∀x.∀y.elderly(x)∧lowSugarFood(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|elderly(x)∧lowSugarFood(y))",permission
USER024,User,Elderly users should receive affordable meal recommendations,"∀x.∀y.elderly(x)∧affordableMeal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|elderly(x)∧affordableMeal(y))",obligation
USER025,User,Elderly users should not receive ultra processed food recommendations,"∀x.∀y.elderly(x)∧ultraProcessedFood(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|elderly(x)∧ultraProcessedFood(y))",prohibition
USER026,User,Users allergic to nuts should not receive products containing nuts,"∀x.∀y.allergicTo(x,Nuts)∧contains(y,Nuts)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|allergicTo(x,Nuts)∧contains(y,Nuts))",prohibition
USER027,User,Users allergic to shellfish should not receive products containing shellfish,"∀x.∀y.allergicTo(x,Shellfish)∧contains(y,Shellfish)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|allergicTo(x,Shellfish)∧contains(y,Shellfish))",prohibition
USER028,User,Users allergic to nuts should receive nut free meal recommendations,"∀x.∀y.allergicTo(x,Nuts)∧nutFreeMeal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|allergicTo(x,Nuts)∧nutFreeMeal(y))",obligation
USER029,User,Users allergic to shellfish may receive shellfish free meal recommendations,"∀x.∀y.allergicTo(x,Shellfish)∧shellfishFreeMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|allergicTo(x,Shellfish)∧shellfishFreeMeal(y))",permission
USER030,User,Users allergic to nuts or shellfish should receive allergen safe meal recommendations,"∀x.∀y.allergicTo(x,Nuts)∨allergicTo(x,Shellfish)∧allergenSafeMeal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|allergicTo(x,Nuts)∨allergicTo(x,Shellfish)∧allergenSafeMeal(y))",obligation
USER031,User,Vegan users should not receive non vegan meal recommendations,"∀x.∀y.vegan(x)∧nonVegan(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|vegan(x)∧nonVegan(y))",prohibition
USER032,User,Vegan users should receive vegan meal recommendations,"∀x.∀y.vegan(x)∧veganMeal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|vegan(x)∧veganMeal(y))",obligation
USER033,User,Vegan users may receive plant based meal recommendations,"∀x.∀y.vegan(x)∧plantBasedMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|vegan(x)∧plantBasedMeal(y))",permission
USER034,User,Vegan users should not receive dairy meal recommendations,"∀x.∀y.vegan(x)∧dairyMeal(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|vegan(x)∧dairyMeal(y))",prohibition
