id,NL_norm,logic_formula
1,Users should consume healthy meals,"O(consume(user,healthy_meal))"
2,Users should not consume high sugar food,"O(¬consume(user,high_sugar_food))"
3,Users are permitted to consume vegetarian meals,"P(consume(user,vegetarian_meal))"
4,Users should consume water regularly,"O(consume(user,water))"
5,Users should avoid energy drinks,"O(¬consume(user,energy_drink))"
6,Users may consume dessert,"P(consume(user,dessert))"
7,Users should consume vegetables,"O(consume(user,vegetables))"
8,Users should not consume too much fast food,"O(¬consume(user,fast_food))"
9,Users are permitted to consume organic food,"P(consume(user,organic_food))"
10,Users should consume balanced meals,"O(consume(user,balanced_meal))"
11,"If users are diabetic, they should consume low sugar food","diabetic(user)→O(consume(user,low_sugar_food))"
12,"If users are diabetic, they should not consume high sugar food","diabetic(user)→O(¬consume(user,high_sugar_food))"
13,"If users are vegetarian, they should consume vegetarian meals","vegetarian(user)→O(consume(user,vegetarian_meal))"
14,"If users are vegetarian, they should not consume meat","vegetarian(user)→O(¬consume(user,meat))"
15,"If users are children, they should not consume energy drinks","child(user)→O(¬consume(user,energy_drink))"
16,"If users are adults, they may consume energy drinks","adult(user)→P(consume(user,energy_drink))"
17,"If users are diabetic, they may consume low sugar food","diabetic(user)→P(consume(user,low_sugar_food))"
18,"If users are vegetarian, they may consume plant based meals","vegetarian(user)→P(consume(user,plant_based_meal))"
19,"If users are children, they should consume vegetables","child(user)→O(consume(user,vegetables))"
20,"If users are adults, they should consume balanced meals","adult(user)→O(consume(user,balanced_meal))"
21,Users should consume sustainable food,"O(consume(user,sustainable_food))"
22,Users should consume local food,"O(consume(user,local_food))"
23,Users should consume seasonal food,"O(consume(user,seasonal_food))"
24,Users should not consume processed food,"O(¬consume(user,processed_food))"
25,Users may consume fast food occasionally,"P(consume(user,fast_food))"
26,Users should consume plant based meals,"O(consume(user,plant_based_meal))"
27,Users should avoid high salt food,"O(¬consume(user,low_salt_food))"
28,Users should consume low salt food,"O(consume(user,low_salt_food))"
29,Users may consume meat,"P(consume(user,meat))"
30,Users should not consume too many desserts,"O(¬consume(user,dessert))"
31,Users should consume vegetables and water,"O(consume(user,vegetables)∧consume(user,water))"
32,Users may consume dessert or fast food,"P(consume(user,dessert)∨consume(user,fast_food))"
33,Users should not consume processed food and high sugar food,"O(¬consume(user,processed_food)∧¬consume(user,high_sugar_food))"
34,Users may consume organic food or local food,"P(consume(user,organic_food)∨consume(user,local_food))"
35,Users should consume balanced meal and vegetables,"O(consume(user,balanced_meal)∧consume(user,vegetables))"
36,Users may consume meat or plant based meal,"P(consume(user,meat)∨consume(user,plant_based_meal))"
37,Users should avoid energy drink and fast food,"O(¬consume(user,energy_drink)∧¬consume(user,fast_food))"
38,Users may consume seasonal or sustainable food,"P(consume(user,seasonal_food)∨consume(user,sustainable_food))"
39,Users should consume water and low sugar food,"O(consume(user,water)∧consume(user,low_sugar_food))"
40,Users may consume vegetarian or vegan meal,"P(consume(user,vegetarian_meal)∨consume(user,vegan_meal))"
41,Users should not consume meat if vegetarian,"vegetarian(user)→O(¬consume(user,meat))"
42,Users should consume plant based meals if vegetarian,"vegetarian(user)→O(consume(user,plant_based_meal))"
43,Users should avoid dessert if diabetic,"diabetic(user)→O(¬consume(user,dessert))"
44,Users may consume dessert if adult,"adult(user)→P(consume(user,dessert))"
45,Users should consume water if child,"child(user)→O(consume(user,water))"
46,Users should consume low salt food if adult,"adult(user)→O(consume(user,low_salt_food))"
47,Users may consume meat if not vegetarian,"¬vegetarian(user)→P(consume(user,meat))"
48,Users should avoid fast food if child,"child(user)→O(¬consume(user,fast_food))"
49,Users may consume energy drinks if adult,"adult(user)→P(consume(user,energy_drink))"
50,Users should consume vegetables if diabetic,"diabetic(user)→O(consume(user,vegetables))"
51,Users should not consume high sugar food and energy drinks,"O(¬consume(user,high_sugar_food)∧¬consume(user,energy_drink))"
52,Users may consume dessert or energy drink,"P(consume(user,dessert)∨consume(user,energy_drink))"
53,Users should consume organic and sustainable food,"O(consume(user,organic_food)∧consume(user,sustainable_food))"
54,Users may consume local or seasonal food,"P(consume(user,local_food)∨consume(user,seasonal_food))"
55,Users should avoid processed and fast food,"O(¬consume(user,processed_food)∧¬consume(user,fast_food))"
56,Users may consume balanced meal or plant based meal,"P(consume(user,balanced_meal)∨consume(user,plant_based_meal))"
57,Users should consume vegetables and low salt food,"O(consume(user,vegetables)∧consume(user,low_salt_food))"
58,Users may consume vegan or vegetarian meal,"P(consume(user,vegan_meal)∨consume(user,vegetarian_meal))"
59,Users should avoid dessert and high sugar food,"O(¬consume(user,dessert)∧¬consume(user,high_sugar_food))"
60,Users may consume meat or fast food,"P(consume(user,meat)∨consume(user,fast_food))"
61,Users should not consume unhealthy meals,"O(¬consume(user,fast_food))"
62,Users are permitted to consume water,"P(consume(user,water))"
63,Users should consume vegetables daily,"O(consume(user,vegetables))"
64,Users should avoid excessive meat consumption,"O(¬consume(user,meat))"
65,Users may consume organic meals,"P(consume(user,organic_food))"
66,Users should consume plant based meals,"O(consume(user,plant_based_meal))"
67,Users should not consume energy drinks,"O(¬consume(user,energy_drink))"
68,Users may consume dessert occasionally,"P(consume(user,dessert))"
69,Users should consume balanced meals,"O(consume(user,balanced_meal))"
70,Users should avoid processed food,"O(¬consume(user,processed_food))"
71,"If users are children, they may consume dessert","child(user)→P(consume(user,dessert))"
72,"If users are diabetic, they should consume vegetables","diabetic(user)→O(consume(user,vegetables))"
73,"If users are vegetarian, they should avoid meat","vegetarian(user)→O(¬consume(user,meat))"
74,"If users are adults, they should consume balanced meals","adult(user)→O(consume(user,balanced_meal))"
75,"If users are children, they should consume water","child(user)→O(consume(user,water))"
76,"If users are diabetic, they should avoid dessert","diabetic(user)→O(¬consume(user,dessert))"
77,"If users are vegetarian, they may consume vegan meals","vegetarian(user)→P(consume(user,vegan_meal))"
78,"If users are adults, they may consume meat","adult(user)→P(consume(user,meat))"
79,"If users are children, they should avoid energy drinks","child(user)→O(¬consume(user,energy_drink))"
80,"If users are diabetic, they should consume low sugar food","diabetic(user)→O(consume(user,low_sugar_food))"
81,Users should consume vegetables or fruits,"P(consume(user,vegetables)∨consume(user,organic_food))"
82,Users should avoid high sugar food or dessert,"O(¬consume(user,high_sugar_food)∨¬consume(user,dessert))"
83,Users may consume local or organic food,"P(consume(user,local_food)∨consume(user,organic_food))"
84,Users should consume balanced meal and water,"O(consume(user,balanced_meal)∧consume(user,water))"
85,Users may consume meat or vegetarian meal,"P(consume(user,meat)∨consume(user,vegetarian_meal))"
86,Users should avoid fast food and energy drinks,"O(¬consume(user,fast_food)∧¬consume(user,energy_drink))"
87,Users may consume sustainable or seasonal food,"P(consume(user,sustainable_food)∨consume(user,seasonal_food))"
88,Users should consume vegetables and plant based meals,"O(consume(user,vegetables)∧consume(user,plant_based_meal))"
89,Users may consume dessert or meat,"P(consume(user,dessert)∨consume(user,meat))"
90,Users should avoid processed food and dessert,"O(¬consume(user,processed_food)∧¬consume(user,dessert))"
91,Users should not avoid healthy meals,"O(¬¬consume(user,healthy_meal))"
92,Users may not consume high sugar food,"P(¬consume(user,high_sugar_food))"
93,Users should not avoid vegetables,"O(¬¬consume(user,vegetables))"
94,Users are forbidden to consume energy drinks,"F(consume(user,energy_drink))"
95,Users are forbidden to consume processed food,"F(consume(user,processed_food))"
96,Users are permitted to consume water,"P(consume(user,water))"
97,Users are forbidden to consume high sugar food,"F(consume(user,high_sugar_food))"
98,Users are permitted to consume vegetables,"P(consume(user,vegetables))"
99,Users are forbidden to consume excessive fast food,"F(consume(user,fast_food))"
100,Users are permitted to consume balanced meals,"P(consume(user,balanced_meal))"
