id,stakeholder,formula_type,norm_type,original_nl,formula,backtranslated_nl,semantic_score,error_type,notes
USER001,User,implication,prohibition,Children should not receive energy drink recommendations,"∀x.∀y.child(x)∧energyDrink(y)->F(recommend(System,y,x))","For every user and product, if all of the following hold: the user is a child; and the product is an energy drink, then the system is prohibited from recommending the product to the user.",,,
USER001,User,dyadic,prohibition,Children should not receive energy drink recommendations,"∀x.∀y.F(recommend(System,y,x)|child(x)∧energyDrink(y))","For every user and product, if all of the following hold: the user is a child; and the product is an energy drink, then the system is prohibited from recommending the product to the user.",,,
USER002,User,implication,prohibition,Children should not receive high sugar product recommendations,"∀x.∀y.child(x)∧highSugarProduct(y)->F(recommend(System,y,x))","For every user and product, if all of the following hold: the user is a child; and the product is high in sugar, then the system is prohibited from recommending the product to the user.",,,
USER002,User,dyadic,prohibition,Children should not receive high sugar product recommendations,"∀x.∀y.F(recommend(System,y,x)|child(x)∧highSugarProduct(y))","For every user and product, if all of the following hold: the user is a child; and the product is high in sugar, then the system is prohibited from recommending the product to the user.",,,
USER003,User,implication,obligation,Children should receive healthy meal recommendations,"∀x.∀y.child(x)∧healthyMeal(y)->O(recommend(System,y,x))","For every user and product, if all of the following hold: the user is a child; and the product is a healthy meal, then the system is obligated to recommend the product to the user.",,,
USER003,User,dyadic,obligation,Children should receive healthy meal recommendations,"∀x.∀y.O(recommend(System,y,x)|child(x)∧healthyMeal(y))","For every user and product, if all of the following hold: the user is a child; and the product is a healthy meal, then the system is obligated to recommend the product to the user.",,,
USER004,User,implication,permission,Children may receive mild meal recommendations,"∀x.∀y.child(x)∧mildMeal(y)->P(recommend(System,y,x))","For every user and product, if all of the following hold: the user is a child; and the product is a mild meal, then the system is permitted to recommend the product to the user.",,,
USER004,User,dyadic,permission,Children may receive mild meal recommendations,"∀x.∀y.P(recommend(System,y,x)|child(x)∧mildMeal(y))","For every user and product, if all of the following hold: the user is a child; and the product is a mild meal, then the system is permitted to recommend the product to the user.",,,
USER005,User,implication,prohibition,Children should not receive ultra processed food recommendations,"∀x.∀y.child(x)∧ultraProcessedFood(y)->F(recommend(System,y,x))","For every user and product, if all of the following hold: the user is a child; and the product is ultra-processed, then the system is prohibited from recommending the product to the user.",,,
USER005,User,dyadic,prohibition,Children should not receive ultra processed food recommendations,"∀x.∀y.F(recommend(System,y,x)|child(x)∧ultraProcessedFood(y))","For every user and product, if all of the following hold: the user is a child; and the product is ultra-processed, then the system is prohibited from recommending the product to the user.",,,
