id,stakeholder,formula_type,norm_type,original_nl,formula,backtranslated_nl,semantic_score,error_type,notes
USER001,User,implication,prohibition,Children should not receive energy drink recommendations.,"∀x.∀y.child(x)∧energyDrink(y)->F(recommend(System,y,x))","For every user and product, if the user is a child and the product is an energy drink, then the system is prohibited from recommending the product to the user.",,,
USER001,User,dyadic,prohibition,Children should not receive energy drink recommendations.,"∀x.∀y.F(recommend(System,y,x)|child(x)∧energyDrink(y))","For every user and product, if the user is a child and the product is an energy drink, then the system is prohibited from recommending the product to the user.",,,
USER002,User,implication,prohibition,Children should not be recommended sugary snacks.,"∀x.∀y.child(x)∧sugarySnack(y)->F(recommend(System,y,x))","For every user and product, if the user is a child and the product is a sugary snack, then the system is prohibited from recommending the product to the user.",,,
USER002,User,dyadic,prohibition,Children should not be recommended sugary snacks.,"∀x.∀y.F(recommend(System,y,x)|child(x)∧sugarySnack(y))","For every user and product, if the user is a child and the product is a sugary snack, then the system is prohibited from recommending the product to the user.",,,
USER003,User,implication,prohibition,Children should not be recommended ultra-processed food.,"∀x.∀y.child(x)∧ultraProcessedFood(y)->F(recommend(System,y,x))","For every user and product, if the user is a child and the product is ultra-processed, then the system is prohibited from recommending the product to the user.",,,
USER003,User,dyadic,prohibition,Children should not be recommended ultra-processed food.,"∀x.∀y.F(recommend(System,y,x)|child(x)∧ultraProcessedFood(y))","For every user and product, if the user is a child and the product is ultra-processed, then the system is prohibited from recommending the product to the user.",,,
USER004,User,implication,permission,Children may be recommended healthy meals.,"∀x.∀y.child(x)∧healthyMeal(y)->P(recommend(System,y,x))","For every user and product, if the user is a child and the product is a healthy meal, then the system is permitted to recommend the product to the user.",,,
USER004,User,dyadic,permission,Children may be recommended healthy meals.,"∀x.∀y.P(recommend(System,y,x)|child(x)∧healthyMeal(y))","For every user and product, if the user is a child and the product is a healthy meal, then the system is permitted to recommend the product to the user.",,,
USER005,User,implication,obligation,Children must be recommended low sugar food.,"∀x.∀y.child(x)∧lowSugarFood(y)->O(recommend(System,y,x))","For every user and product, if the user is a child and the product is low in sugar, then the system is obligated to recommend the product to the user.",,,
USER005,User,dyadic,obligation,Children must be recommended low sugar food.,"∀x.∀y.O(recommend(System,y,x)|child(x)∧lowSugarFood(y))","For every user and product, if the user is a child and the product is low in sugar, then the system is obligated to recommend the product to the user.",,,
USER006,User,implication,prohibition,Children should not be recommended spicy meals.,"∀x.∀y.child(x)∧spicyMeal(y)->F(recommend(System,y,x))","For every user and product, if the user is a child and the product is a spicy meal, then the system is prohibited from recommending the product to the user.",,,
USER006,User,dyadic,prohibition,Children should not be recommended spicy meals.,"∀x.∀y.F(recommend(System,y,x)|child(x)∧spicyMeal(y))","For every user and product, if the user is a child and the product is a spicy meal, then the system is prohibited from recommending the product to the user.",,,
USER007,User,implication,permission,Children may be recommended mild meals.,"∀x.∀y.child(x)∧mildMeal(y)->P(recommend(System,y,x))","For every user and product, if the user is a child and the product is a mild meal, then the system is permitted to recommend the product to the user.",,,
USER007,User,dyadic,permission,Children may be recommended mild meals.,"∀x.∀y.P(recommend(System,y,x)|child(x)∧mildMeal(y))","For every user and product, if the user is a child and the product is a mild meal, then the system is permitted to recommend the product to the user.",,,
USER008,User,implication,permission,Adults may be recommended energy drinks.,"∀x.∀y.adult(x)∧energyDrink(y)->P(recommend(System,y,x))","For every user and product, if the user is an adult and the product is an energy drink, then the system is permitted to recommend the product to the user.",,,
USER008,User,dyadic,permission,Adults may be recommended energy drinks.,"∀x.∀y.P(recommend(System,y,x)|adult(x)∧energyDrink(y))","For every user and product, if the user is an adult and the product is an energy drink, then the system is permitted to recommend the product to the user.",,,
USER009,User,implication,permission,Adults may be recommended spicy meals.,"∀x.∀y.adult(x)∧spicyMeal(y)->P(recommend(System,y,x))","For every user and product, if the user is an adult and the product is a spicy meal, then the system is permitted to recommend the product to the user.",,,
USER009,User,dyadic,permission,Adults may be recommended spicy meals.,"∀x.∀y.P(recommend(System,y,x)|adult(x)∧spicyMeal(y))","For every user and product, if the user is an adult and the product is a spicy meal, then the system is permitted to recommend the product to the user.",,,
USER010,User,implication,permission,Adults may be recommended affordable meals.,"∀x.∀y.adult(x)∧affordableMeal(y)->P(recommend(System,y,x))","For every user and product, if the user is an adult and the product is an affordable meal, then the system is permitted to recommend the product to the user.",,,
USER010,User,dyadic,permission,Adults may be recommended affordable meals.,"∀x.∀y.P(recommend(System,y,x)|adult(x)∧affordableMeal(y))","For every user and product, if the user is an adult and the product is an affordable meal, then the system is permitted to recommend the product to the user.",,,
USER011,User,implication,obligation,Elderly users should be recommended low salt food.,"∀x.∀y.elderly(x)∧lowSaltFood(y)->O(recommend(System,y,x))","For every user and product, if the user is elderly and the product is low in salt, then the system is obligated to recommend the product to the user.",,,
USER011,User,dyadic,obligation,Elderly users should be recommended low salt food.,"∀x.∀y.O(recommend(System,y,x)|elderly(x)∧lowSaltFood(y))","For every user and product, if the user is elderly and the product is low in salt, then the system is obligated to recommend the product to the user.",,,
USER012,User,implication,prohibition,Elderly users should not be recommended salty snacks.,"∀x.∀y.elderly(x)∧saltySnack(y)->F(recommend(System,y,x))","For every user and product, if the user is elderly and the product is a salty snack, then the system is prohibited from recommending the product to the user.",,,
USER012,User,dyadic,prohibition,Elderly users should not be recommended salty snacks.,"∀x.∀y.F(recommend(System,y,x)|elderly(x)∧saltySnack(y))","For every user and product, if the user is elderly and the product is a salty snack, then the system is prohibited from recommending the product to the user.",,,
USER013,User,implication,permission,Elderly users may be recommended healthy meals.,"∀x.∀y.elderly(x)∧healthyMeal(y)->P(recommend(System,y,x))","For every user and product, if the user is elderly and the product is a healthy meal, then the system is permitted to recommend the product to the user.",,,
USER013,User,dyadic,permission,Elderly users may be recommended healthy meals.,"∀x.∀y.P(recommend(System,y,x)|elderly(x)∧healthyMeal(y))","For every user and product, if the user is elderly and the product is a healthy meal, then the system is permitted to recommend the product to the user.",,,
USER014,User,implication,prohibition,Elderly users should not be recommended ultra-processed food.,"∀x.∀y.elderly(x)∧ultraProcessedFood(y)->F(recommend(System,y,x))","For every user and product, if the user is elderly and the product is ultra-processed, then the system is prohibited from recommending the product to the user.",,,
USER014,User,dyadic,prohibition,Elderly users should not be recommended ultra-processed food.,"∀x.∀y.F(recommend(System,y,x)|elderly(x)∧ultraProcessedFood(y))","For every user and product, if the user is elderly and the product is ultra-processed, then the system is prohibited from recommending the product to the user.",,,
USER015,User,implication,prohibition,Pregnant users should not be recommended energy drinks.,"∀x.∀y.pregnant(x)∧energyDrink(y)->F(recommend(System,y,x))","For every user and product, if the product is an energy drink and the user is pregnant, then the system is prohibited from recommending the product to the user.",,,
USER015,User,dyadic,prohibition,Pregnant users should not be recommended energy drinks.,"∀x.∀y.F(recommend(System,y,x)|pregnant(x)∧energyDrink(y))","For every user and product, if the product is an energy drink and the user is pregnant, then the system is prohibited from recommending the product to the user.",,,
USER016,User,implication,obligation,Pregnant users must be recommended healthy meals.,"∀x.∀y.pregnant(x)∧healthyMeal(y)->O(recommend(System,y,x))","For every user and product, if the product is a healthy meal and the user is pregnant, then the system is obligated to recommend the product to the user.",,,
