id,stakeholder,nl_norm,implication_formula,dyadic_formula,norm_type
MINISTRY001,Food Ministry,Children must not be recommended products that are banned for children.,"∀x.∀y.child(x)∧bannedForChildren(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧bannedForChildren(y))",prohibition
MINISTRY002,Food Ministry,Children must not be recommended products that exceed the sugar limit.,"∀x.∀y.child(x)∧exceedsSugarLimit(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧exceedsSugarLimit(y))",prohibition
MINISTRY003,Food Ministry,Children must not be recommended energy drinks.,"∀x.∀y.child(x)∧energyDrink(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧energyDrink(y))",prohibition
MINISTRY004,Food Ministry,Children must not be recommended restricted products.,"∀x.∀y.child(x)∧restricted(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧restricted(y))",prohibition
MINISTRY005,Food Ministry,Children must not be recommended products that are not approved by the ministry.,"∀x.∀y.child(x)∧¬approvedByMinistry(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧¬approvedByMinistry(y))",prohibition
MINISTRY006,Food Ministry,Children must not be recommended sugary snacks that exceed the sugar limit.,"∀x.∀y.child(x)∧sugarySnack(y)∧exceedsSugarLimit(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧sugarySnack(y)∧exceedsSugarLimit(y))",prohibition
MINISTRY007,Food Ministry,Children must not be recommended salty snacks that exceed the salt limit.,"∀x.∀y.child(x)∧saltySnack(y)∧exceedsSaltLimit(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧saltySnack(y)∧exceedsSaltLimit(y))",prohibition
MINISTRY008,Food Ministry,Children must not be recommended energy drinks or sugary snacks.,"∀x.∀y.child(x)∧(energyDrink(y)∨sugarySnack(y))->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧(energyDrink(y)∨sugarySnack(y)))",prohibition
MINISTRY009,Food Ministry,Children must not be recommended products that exceed the sugar limit or the salt limit.,"∀x.∀y.child(x)∧(exceedsSugarLimit(y)∨exceedsSaltLimit(y))->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧(exceedsSugarLimit(y)∨exceedsSaltLimit(y)))",prohibition
MINISTRY010,Food Ministry,Children must not be recommended products that exceed the fat limit.,"∀x.∀y.child(x)∧exceedsFatLimit(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|child(x)∧exceedsFatLimit(y))",prohibition
MINISTRY011,Food Ministry,Diabetic users must not be recommended products that exceed the sugar limit.,"∀x.∀y.diabetic(x)∧exceedsSugarLimit(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|diabetic(x)∧exceedsSugarLimit(y))",prohibition
