id,stakeholder,formulation_type,nl_norm,logic_formula
MINISTRY001,Food Ministry,dyadic_prohibition,Children must not receive energy drink recommendations when the drink exceeds sugar limits,"∀x.F(recommend(System,EnergyDrink)|child(x)∧exceedsSugarLimit(EnergyDrink))"
MINISTRY002,Food Ministry,dyadic_obligation,Diabetic users must receive low sugar food recommendations when the food is safe for diabetic users,"∀x.O(recommend(System,LowSugarFood)|diabetic(x)∧safeForDiabeticUsers(LowSugarFood))"
MINISTRY003,Food Ministry,dyadic_permission,Adults may receive approved food recommendations when the food complies with guidelines,"∀x.P(recommend(System,ApprovedFood)|adult(x)∧compliesWithGuideline(ApprovedFood))"
MINISTRY004,Food Ministry,implication_prohibition,Users allergic to nuts must not receive nut snacks containing undeclared allergens,"∀x.allergicTo(x,Nuts)∧containsUndeclaredAllergen(NutSnack)->F(recommend(System,NutSnack))"
MINISTRY005,Food Ministry,implication_obligation,Hypertensive users must receive low salt food recommendations,"∀x.hypertensive(x)->O(recommend(System,LowSaltFood))"
MINISTRY006,Food Ministry,simple_permission,The system may recommend ministry approved food,"∀x.P(recommend(System,ApprovedFood))"
MINISTRY007,Food Ministry,simple_obligation,The system must recommend foods with nutrition labels,∀x.O(hasNutritionLabel(ApprovedFood))
MINISTRY008,Food Ministry,simple_prohibition,The system must not recommend restricted food,"∀x.F(recommend(System,RestrictedFood))"
MINISTRY009,Food Ministry,dyadic_prohibition,Children must not receive foods banned for children,"∀x.F(recommend(System,EnergyDrink)|child(x)∧bannedForChildren(EnergyDrink))"
MINISTRY010,Food Ministry,dyadic_obligation,Pregnant users must receive safe healthy meal recommendations,"∀x.O(recommend(System,HealthyMeal)|pregnant(x)∧safeForPregnantUsers(HealthyMeal))"
MINISTRY011,Food Ministry,dyadic_permission,Elderly users may receive healthy meals when the meal complies with guidelines,"∀x.P(recommend(System,HealthyMeal)|elderly(x)∧compliesWithGuideline(HealthyMeal))"
MINISTRY012,Food Ministry,implication_prohibition,Pregnant users must not receive foods without required safety warnings,"∀x.pregnant(x)∧requiresWarning(WarningFood)->F(recommend(System,WarningFood))"
MINISTRY013,Food Ministry,implication_obligation,Vulnerable users must receive healthy meal recommendations,"∀x.vulnerableUser(x)->O(recommend(System,HealthyMeal))"
MINISTRY014,Food Ministry,implication_permission,Adults may receive approved foods that have nutrition labels,"∀x.adult(x)∧hasNutritionLabel(ApprovedFood)->P(recommend(System,ApprovedFood))"
MINISTRY015,Food Ministry,dyadic_prohibition,Diabetic users must not receive sugary snacks exceeding sugar limits,"∀x.F(recommend(System,SugarySnack)|diabetic(x)∧exceedsSugarLimit(SugarySnack))"
MINISTRY016,Food Ministry,dyadic_obligation,Children must receive healthy alternatives when sugary snacks exceed sugar limits,"∀x.O(recommend(System,HealthyMeal)|child(x)∧exceedsSugarLimit(SugarySnack))"
MINISTRY017,Food Ministry,dyadic_permission,Approved foods may be recommended when they are ministry approved,"∀x.P(recommend(System,ApprovedFood)|approvedByMinistry(ApprovedFood))"
MINISTRY018,Food Ministry,implication_prohibition,Foods with misleading organic claims must not be recommended,"∀x.misleadingClaim(OrganicFood)->F(recommend(System,OrganicFood))"
MINISTRY019,Food Ministry,implication_obligation,Users requiring halal food must receive verified halal meal recommendations,"∀x.requiresHalal(x)∧verifiedHalal(HalalMeal)->O(recommend(System,HalalMeal))"
MINISTRY020,Food Ministry,implication_permission,Users requiring kosher food may receive verified kosher meal recommendations,"∀x.requiresKosher(x)∧verifiedKosher(KosherMeal)->P(recommend(System,KosherMeal))"
MINISTRY021,Food Ministry,dyadic_prohibition,Users requiring halal food must not receive unverified halal meals,"∀x.F(recommend(System,HalalMeal)|requiresHalal(x)∧¬verifiedHalal(HalalMeal))"
MINISTRY022,Food Ministry,dyadic_prohibition,Users requiring kosher food must not receive unverified kosher meals,"∀x.F(recommend(System,KosherMeal)|requiresKosher(x)∧¬verifiedKosher(KosherMeal))"
MINISTRY023,Food Ministry,dyadic_obligation,Gluten sensitive users must receive certified gluten free meal recommendations,"∀x.O(recommend(System,GlutenFreeMeal)|glutenSensitive(x)∧certifiedGlutenFree(GlutenFreeMeal))"
MINISTRY024,Food Ministry,dyadic_obligation,Lactose intolerant users must receive certified lactose free meal recommendations,"∀x.O(recommend(System,LactoseFreeMeal)|lactoseIntolerant(x)∧certifiedLactoseFree(LactoseFreeMeal))"
MINISTRY025,Food Ministry,implication_prohibition,Users requiring gluten free food must not receive uncertified gluten free meals,"∀x.requiresGlutenFree(x)∧¬certifiedGlutenFree(GlutenFreeMeal)->F(recommend(System,GlutenFreeMeal))"
MINISTRY026,Food Ministry,implication_prohibition,Users requiring lactose free food must not receive uncertified lactose free meals,"∀x.requiresLactoseFree(x)∧¬certifiedLactoseFree(LactoseFreeMeal)->F(recommend(System,LactoseFreeMeal))"
MINISTRY027,Food Ministry,simple_obligation,The system must preserve access to affordable healthy meals,"∀x.O(recommend(System,AffordableMeal))"
MINISTRY028,Food Ministry,simple_permission,The system may recommend foods that comply with ministry guidelines,∀x.P(compliesWithGuideline(ApprovedFood))
MINISTRY029,Food Ministry,simple_prohibition,The system must not recommend foods with misleading claims,∀x.F(misleadingClaim(OrganicFood))
MINISTRY030,Food Ministry,dyadic_prohibition,Users allergic to shellfish must not receive shellfish meals containing undeclared allergens,"∀x.F(recommend(System,ShellfishMeal)|allergicTo(x,Shellfish)∧containsUndeclaredAllergen(ShellfishMeal))"
MINISTRY031,Food Ministry,dyadic_obligation,Allergic users must receive foods with nutrition labels and allergen information,"∀x.O(hasNutritionLabel(ApprovedFood)|allergicTo(x,Nuts)∨allergicTo(x,Shellfish))"
MINISTRY032,Food Ministry,dyadic_permission,Healthy meals may be recommended to vulnerable users when guideline compliant,"∀x.P(recommend(System,HealthyMeal)|vulnerableUser(x)∧compliesWithGuideline(HealthyMeal))"
MINISTRY033,Food Ministry,implication_prohibition,Foods exceeding salt limits must not be recommended to hypertensive users,"∀x.hypertensive(x)∧exceedsSaltLimit(SaltySnack)->F(recommend(System,SaltySnack))"
MINISTRY034,Food Ministry,implication_obligation,Hypertensive users must receive foods that do not exceed salt limits,"∀x.hypertensive(x)∧¬exceedsSaltLimit(LowSaltFood)->O(recommend(System,LowSaltFood))"
MINISTRY035,Food Ministry,implication_permission,Adults may receive salty snacks only when the snack does not exceed salt limits,"∀x.adult(x)∧¬exceedsSaltLimit(SaltySnack)->P(recommend(System,SaltySnack))"
MINISTRY036,Food Ministry,dyadic_prohibition,Elderly users must not receive fried meals exceeding fat limits,"∀x.F(recommend(System,FriedMeal)|elderly(x)∧exceedsFatLimit(FriedMeal))"
MINISTRY037,Food Ministry,dyadic_obligation,Elderly users must receive healthy meals when fried meals exceed fat limits,"∀x.O(recommend(System,HealthyMeal)|elderly(x)∧exceedsFatLimit(FriedMeal))"
MINISTRY038,Food Ministry,dyadic_permission,Low sugar food may be recommended to diabetic users when approved by the ministry,"∀x.P(recommend(System,LowSugarFood)|diabetic(x)∧approvedByMinistry(ApprovedFood))"
MINISTRY039,Food Ministry,implication_prohibition,Restricted foods must not be recommended to children,"∀x.child(x)∧restricted(RestrictedFood)->F(recommend(System,RestrictedFood))"
MINISTRY040,Food Ministry,implication_obligation,Children must receive approved healthy meal recommendations,"∀x.child(x)∧approvedByMinistry(ApprovedFood)->O(recommend(System,HealthyMeal))"
MINISTRY041,Food Ministry,implication_permission,Adults may receive warning foods when safety warnings are present,"∀x.adult(x)∧hasSafetyWarning(EnergyDrink)->P(recommend(System,EnergyDrink))"
MINISTRY042,Food Ministry,simple_obligation,The system must use safety warnings for energy drinks,∀x.O(hasSafetyWarning(EnergyDrink))
MINISTRY043,Food Ministry,simple_permission,The system may recommend healthy meals,"∀x.P(recommend(System,HealthyMeal))"
