id,stakeholder,NL_norm,logic_formula
1,user,The system should consume healthy meal,"O(consume(system,healthy_meal))"
2,food_ministry,"For diabetic users, the system should recommend vegetarian meal","diabetic(user) → F(recommend(system,vegetarian_meal))"
3,food_industry,The system should promote vegan meal,"P(promote(system,vegan_meal))"
4,user,"For adult users, the system should advertise high sugar food","adult(user) → O(advertise(system,high_sugar_food))"
5,food_ministry,The system should label low sugar food,"F(label(system,low_sugar_food))"
6,food_industry,"For diabetic users, the system should limit fast food","diabetic(user) → P(limit(system,fast_food))"
7,user,The system should provide processed food,"O(provide(system,processed_food))"
8,food_ministry,"For adult users, the system should consume organic food","adult(user) → F(consume(system,organic_food))"
9,food_industry,The system should recommend local food,"P(recommend(system,local_food))"
10,user,"For diabetic users, the system should promote seasonal food","diabetic(user) → O(promote(system,seasonal_food))"
11,food_ministry,The system should advertise sustainable food,"F(advertise(system,sustainable_food))"
12,food_industry,"For adult users, the system should label low salt food","adult(user) → P(label(system,low_salt_food))"
13,user,The system should limit balanced meal,"O(limit(system,balanced_meal))"
14,food_ministry,"For diabetic users, the system should provide plant based meal","diabetic(user) → F(provide(system,plant_based_meal))"
15,food_industry,The system should consume water,"P(consume(system,water))"
16,user,"For adult users, the system should recommend dessert","adult(user) → O(recommend(system,dessert))"
17,food_ministry,The system should promote vegetables,"F(promote(system,vegetables))"
18,food_industry,"For diabetic users, the system should advertise energy drink","diabetic(user) → P(advertise(system,energy_drink))"
19,user,The system should label meat,"O(label(system,meat))"
20,food_ministry,"For adult users, the system should limit healthy meal","adult(user) → F(limit(system,healthy_meal))"
21,food_industry,The system should provide vegetarian meal,"P(provide(system,vegetarian_meal))"
22,user,"For diabetic users, the system should consume vegan meal","diabetic(user) → O(consume(system,vegan_meal))"
23,food_ministry,The system should recommend high sugar food,"F(recommend(system,high_sugar_food))"
24,food_industry,"For adult users, the system should promote low sugar food","adult(user) → P(promote(system,low_sugar_food))"
25,user,The system should advertise fast food,"O(advertise(system,fast_food))"
26,food_ministry,"For diabetic users, the system should label processed food","diabetic(user) → F(label(system,processed_food))"
27,food_industry,The system should limit organic food,"P(limit(system,organic_food))"
28,user,"For adult users, the system should provide local food","adult(user) → O(provide(system,local_food))"
29,food_ministry,The system should consume seasonal food,"F(consume(system,seasonal_food))"
30,food_industry,"For diabetic users, the system should recommend sustainable food","diabetic(user) → P(recommend(system,sustainable_food))"
31,user,The system should promote low salt food,"O(promote(system,low_salt_food))"
32,food_ministry,"For adult users, the system should advertise balanced meal","adult(user) → F(advertise(system,balanced_meal))"
33,food_industry,The system should label plant based meal,"P(label(system,plant_based_meal))"
34,user,"For diabetic users, the system should limit water","diabetic(user) → O(limit(system,water))"
35,food_ministry,The system should provide dessert,"F(provide(system,dessert))"
36,food_industry,"For adult users, the system should consume vegetables","adult(user) → P(consume(system,vegetables))"
37,user,The system should recommend energy drink,"O(recommend(system,energy_drink))"
38,food_ministry,"For diabetic users, the system should promote meat","diabetic(user) → F(promote(system,meat))"
39,food_industry,The system should advertise healthy meal,"P(advertise(system,healthy_meal))"
40,user,"For adult users, the system should label vegetarian meal","adult(user) → O(label(system,vegetarian_meal))"
41,food_ministry,The system should limit vegan meal,"F(limit(system,vegan_meal))"
42,food_industry,"For diabetic users, the system should provide high sugar food","diabetic(user) → P(provide(system,high_sugar_food))"
43,user,The system should consume low sugar food,"O(consume(system,low_sugar_food))"
44,food_ministry,"For adult users, the system should recommend fast food","adult(user) → F(recommend(system,fast_food))"
45,food_industry,The system should promote processed food,"P(promote(system,processed_food))"
46,user,"For diabetic users, the system should advertise organic food","diabetic(user) → O(advertise(system,organic_food))"
47,food_ministry,The system should label local food,"F(label(system,local_food))"
48,food_industry,"For adult users, the system should limit seasonal food","adult(user) → P(limit(system,seasonal_food))"
49,user,The system should provide sustainable food,"O(provide(system,sustainable_food))"
50,food_ministry,"For diabetic users, the system should consume low salt food","diabetic(user) → F(consume(system,low_salt_food))"
51,food_industry,The system should recommend balanced meal,"P(recommend(system,balanced_meal))"
52,user,"For adult users, the system should promote plant based meal","adult(user) → O(promote(system,plant_based_meal))"
53,food_ministry,The system should advertise water,"F(advertise(system,water))"
54,food_industry,"For diabetic users, the system should label dessert","diabetic(user) → P(label(system,dessert))"
55,user,The system should limit vegetables,"O(limit(system,vegetables))"
56,food_ministry,"For adult users, the system should provide energy drink","adult(user) → F(provide(system,energy_drink))"
57,food_industry,The system should consume meat,"P(consume(system,meat))"
58,user,"For diabetic users, the system should recommend healthy meal","diabetic(user) → O(recommend(system,healthy_meal))"
59,food_ministry,The system should promote vegetarian meal,"F(promote(system,vegetarian_meal))"
60,food_industry,"For adult users, the system should advertise vegan meal","adult(user) → P(advertise(system,vegan_meal))"
61,user,The system should label high sugar food,"O(label(system,high_sugar_food))"
62,food_ministry,"For diabetic users, the system should limit low sugar food","diabetic(user) → F(limit(system,low_sugar_food))"
63,food_industry,The system should provide fast food,"P(provide(system,fast_food))"
64,user,"For adult users, the system should consume processed food","adult(user) → O(consume(system,processed_food))"
65,food_ministry,The system should recommend organic food,"F(recommend(system,organic_food))"
66,food_industry,"For diabetic users, the system should promote local food","diabetic(user) → P(promote(system,local_food))"
67,user,The system should advertise seasonal food,"O(advertise(system,seasonal_food))"
68,food_ministry,"For adult users, the system should label sustainable food","adult(user) → F(label(system,sustainable_food))"
69,food_industry,The system should limit low salt food,"P(limit(system,low_salt_food))"
70,user,"For diabetic users, the system should provide balanced meal","diabetic(user) → O(provide(system,balanced_meal))"
71,food_ministry,The system should consume plant based meal,"F(consume(system,plant_based_meal))"
72,food_industry,"For adult users, the system should recommend water","adult(user) → P(recommend(system,water))"
73,user,The system should promote dessert,"O(promote(system,dessert))"
74,food_ministry,"For diabetic users, the system should advertise vegetables","diabetic(user) → F(advertise(system,vegetables))"
75,food_industry,The system should label energy drink,"P(label(system,energy_drink))"
76,user,"For adult users, the system should limit meat","adult(user) → O(limit(system,meat))"
