id,NL_norm,logic_formula
1,Users ought to consume healthy meals.,"O(consume(user,healthy_meal))"
2,Users are forbidden to consume high-sugar food.,"F(consume(user,high_sugar_food))"
3,Users are permitted to consume vegetarian meals.,"P(consume(user,vegetarian_meal))"
4,Users ought to consume water.,"O(consume(user,water))"
5,Users are permitted to consume organic food.,"P(consume(user,organic_food))"
6,Users are forbidden to consume energy drinks.,"F(consume(user,energy_drink))"
7,Users ought to consume vegetables.,"O(consume(user,vegetables))"
8,Users are permitted to consume seasonal food.,"P(consume(user,seasonal_food))"
9,Users are forbidden to consume processed food.,"F(consume(user,processed_food))"
10,Users ought to consume balanced meals.,"O(consume(user,balanced_meal))"
11,Vegetarian users ought to consume vegetarian meals.,"vegetarian(user)→O(consume(user,vegetarian_meal))"
12,Vegetarian users are forbidden to consume meat.,"vegetarian(user)→F(consume(user,meat))"
13,Vegetarian users are permitted to consume plant-based meals.,"vegetarian(user)→P(consume(user,plant_based_meal))"
14,Diabetic users ought to consume low-sugar food.,"diabetic(user)→O(consume(user,low_sugar_food))"
15,Diabetic users are forbidden to consume dessert.,"diabetic(user)→F(consume(user,dessert))"
16,Diabetic users are forbidden to consume high-sugar food.,"diabetic(user)→F(consume(user,high_sugar_food))"
17,Children ought to consume low-salt food.,"child(user)→O(consume(user,low_salt_food))"
18,Children are forbidden to consume energy drinks.,"child(user)→F(consume(user,energy_drink))"
19,Adults are permitted to consume water.,"adult(user)→P(consume(user,water))"
20,Adults are permitted to consume local food.,"adult(user)→P(consume(user,local_food))"
21,Users ought to consume vegetables and water.,"O(consume(user,vegetables)∧consume(user,water))"
22,Users are forbidden to consume fast food and dessert together.,"F(consume(user,fast_food)∧consume(user,dessert))"
23,Users are permitted to consume vegetarian meals or vegan meals.,"P(consume(user,vegetarian_meal)∨consume(user,vegan_meal))"
24,Users ought to consume sustainable food and seasonal food.,"O(consume(user,sustainable_food)∧consume(user,seasonal_food))"
25,Users are forbidden to consume processed food or energy drinks.,"F(consume(user,processed_food)∨consume(user,energy_drink))"
26,Users are permitted to consume organic food and local food.,"P(consume(user,organic_food)∧consume(user,local_food))"
27,Users ought to consume balanced meals or healthy meals.,"O(consume(user,balanced_meal)∨consume(user,healthy_meal))"
28,Users are forbidden to consume high-sugar food and low-sugar food together.,"F(consume(user,high_sugar_food)∧consume(user,low_sugar_food))"
29,Users are permitted to consume plant-based meals and vegetables.,"P(consume(user,plant_based_meal)∧consume(user,vegetables))"
30,Users ought to consume water or low-sugar food.,"O(consume(user,water)∨consume(user,low_sugar_food))"
31,Users ought not consume fast food.,"O(¬consume(user,fast_food))"
32,Users are permitted not to consume meat.,"P(¬consume(user,meat))"
33,Users are forbidden not to consume water.,"F(¬consume(user,water))"
34,Diabetic users ought not consume dessert.,"diabetic(user)→O(¬consume(user,dessert))"
35,Children are permitted not to consume energy drinks.,"child(user)→P(¬consume(user,energy_drink))"
36,Vegetarian users are forbidden not to avoid meat.,"vegetarian(user)→F(¬consume(user,vegetarian_meal))"
37,Users ought not consume processed food.,"O(¬consume(user,processed_food))"
38,Adults are permitted not to consume dessert.,"adult(user)→P(¬consume(user,dessert))"
39,Users are forbidden not to consume vegetables.,"F(¬consume(user,vegetables))"
40,Diabetic users ought not consume high-sugar food.,"diabetic(user)→O(¬consume(user,high_sugar_food))"
41,"If a user is diabetic, the user ought to consume low-sugar food and water.","diabetic(user)→O(consume(user,low_sugar_food)∧consume(user,water))"
42,"If a user is a child, the user is forbidden to consume fast food or energy drinks.","child(user)→F(consume(user,fast_food)∨consume(user,energy_drink))"
